"","x"
"Arabic",1
"Chinese",1
"Czech",1
"Danish",1
"Dutch",1
"English",1
"Filipino",1
"Finnish",1
"French",1
"German",1
"Hebrew",1
"Hungarian",1
"Indonesian",1
"Italian",1
"Japanese",2
"Korean",1
"Norwegian",1
"Persian",1
"Polish",1
"Portuguese",3
"Romanian",1
"Russian",3
"Spanish",2
"Swedish",1
"Thai",1
"Topic 0 - English",2
"Topic 10 - English",2
"Topic 11 - English",2
"Topic 12 - English",2
"Topic 13 - English",2
"Topic 14 - English",2
"Topic 15 - English",2
"Topic 16 - English",2
"Topic 17 - English",2
"Topic 18 - English",2
"Topic 19 - English",2
"Topic 1 - English",2
"Topic 2 - English",2
"Topic 3 - English",2
"Topic 4 - English",2
"Topic 5 - English",2
"Topic 6 - English",2
"Topic 7 - English",2
"Topic 8 - English",2
"Topic 9 - English",2
"Turkish",1
"Ukrainian",4
"Vietnamese",5
