"","lang.topic","1day","2day","3day","4day","5day","6day","7day","avg"
"1","Topic 0 - English",0.00194417268960888,0.00324291189972819,0.0020934450254057,0.000991909869851005,0.00127484366519459,0.00114641922708111,0.00136048600894563,0.2702
"2","Topic 1 - English",0.00215994931191344,0.00334111845664287,0.00276170352280718,0.00373334916452742,0.00343730108993283,0.00236410454125316,0.00413506231478675,0.322
"3","Topic 2 - English",0.0074124427220058,0.0105017799505,0.00835523195108848,0.0120573467447659,0.0111824100962404,0.00630795782178629,0.0185226708298499,0.4737
"4","Topic 3 - English",0.00758913585130805,0.00681126055418691,0.00688938590077749,0.00712694305568717,0.00672408150364134,0.00478424483605623,0.00387718050976426,0.5609
"5","Topic 4 - English",0.00383886277081391,0.00600590383963734,0.0046725580723225,0.00650107727181224,0.00580329725296478,0.00568963651981673,0.0103927475517704,0.3495
"6","Topic 5 - English",0.00441422017583704,0.00951546086694542,0.00976831215860618,0.0106968316879227,0.0105351312531699,0.00911806429740222,0.00925472444561846,0.2836
"7","Topic 6 - English",0.00483017859537648,0.00448010546073719,0.0027784881366049,0.00457727272589758,0.00387934704713464,0.00258878864957291,0.00485143592101588,0.2246
"8","Topic 7 - English",0.000914029863644871,0.000470288464609725,0.000557419570459246,0.000589606189475941,0.000538215453045679,0.00046120352156586,0.000457366577803177,0.0884
"9","Spanish",0.000402281640662275,0.00041718574759105,0.000440246905006273,0.000383490503737622,0.000348714757758274,0.000363506073296394,0.000364637405279253,0.0795
"10","Topic 12 - English",2.57556164366844e-05,3.25992863057057e-05,3.16925061510305e-05,3.01577173772824e-05,2.74801056313856e-05,2.50121859721684e-05,2.36384881791497e-05,0.0156
"11","Topic 9 - English",3.9914472335296e-05,4.52235531937396e-05,5.54711653787661e-05,5.52373440167989e-05,5.31835696203506e-05,5.28135871413e-05,5.13304361663126e-05,0.0217
"12","Topic 8 - English",0.000137257676651638,0.000143414686082643,0.000124974361699068,0.00012112670019818,0.000106332217819557,0.000116365278338084,0.000107671308178251,0.0364
"13","Topic 15 - English",0.000162968657589916,0.000159251601089647,0.000160081344479142,0.000160788216804263,0.000165957114641536,0.000162611798813875,0.000173841355362165,0.021
"14","Topic 16 - English",4.12877117645178e-05,5.27994138702081e-05,5.2073172194491e-05,4.7153684894574e-05,4.57714222346711e-05,5.04287247372208e-05,5.42286102705868e-05,0.0176
"15","Topic 17 - English",4.84614881390433e-05,5.32771679463673e-05,6.08382020793716e-05,4.99551060917815e-05,4.83451993031271e-05,3.90361930181168e-05,3.86469812101641e-05,0.0175
"16","Topic 14 - English",0.000100784277895555,0.000117423357046054,0.000122152660259341,0.000125816813027064,0.000129272127113699,0.000138309370589519,0.000152462270140973,0.0193
"17","Topic 13 - English",4.57830776974417e-05,4.26360943993516e-05,3.92153155271654e-05,4.06724500127142e-05,4.01346572719446e-05,4.04297141484298e-05,4.58670584700868e-05,0.0193
"18","Topic 18 - English",0.000187589266825964,0.000379311399120976,0.000412016856966595,0.000395767781696067,0.000362554368137004,0.000324417080082114,0.000326259527369188,0.0191
"19","Topic 11 - English",5.62017977330596e-05,6.38453649136619e-05,6.42233588247999e-05,6.6921289190149e-05,6.3957770455701e-05,6.50052232014261e-05,7.25504251273927e-05,0.0215
"20","Topic 10 - English",7.49710727921077e-05,7.65167489269421e-05,7.83595405762399e-05,7.76298728768385e-05,7.83402323549901e-05,7.56388505158919e-05,8.53257629904931e-05,0.0232
