"","lang.topic","tweets","users","avg","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Topic 0 - English",2649566,106255,24.9359183097266,3,0,2,0.226581597582654,-0.708994620435704,0.631003335100986,NA,0.407430930788305,0.800575362766888,NA,NA
"2","Topic 1 - English",1172222,39451,29.7133659476312,5,1,0,-0.365611576714098,-0.636635715263779,-0.400945674581112,-0.255857403189768,NA,NA,NA,NA
"3","Topic 2 - English",529338,12121,43.6711492451118,5,1,0,-0.407867011997022,-0.653636504492374,-0.409943003309029,-0.35815270696991,NA,NA,NA,NA
"4","Topic 3 - English",266454,5151,51.7285963890507,5,1,0,-0.396764576257736,-0.655890475477861,-0.454201033236802,-0.328405489938509,NA,NA,NA,NA
"5","Topic 4 - English",133054,4136,32.1697292069632,5,1,0,-0.498115356505828,-0.621924880032696,-0.415210917485556,-0.359407296430184,NA,NA,NA,NA
"6","Topic 5 - English",74958,2871,26.1086729362591,5,1,0,-0.271592784617282,-0.478944023459666,-0.0916032290129287,-0.121285138269249,NA,NA,NA,NA
"7","Topic 6 - English",32479,1571,20.6740929344367,2,1,3,-0.536811125969594,-0.975101555266196,NA,NA,-0.217935030974032,0.53084136423548,-0.571733295930372,NA
"8","Topic 7 - English",22639,2783,8.13474667624865,2,0,2,0.560352116682449,-0.635260022925017,NA,NA,-0.441994233888301,0.949773589015233,NA,NA
"9","Spanish",20334,2028,10.0266272189349,0,1,1,NA,NA,NA,NA,-0.879928520669755,NA,NA,NA
"10","Topic 12 - English",9238,6439,1.4346948283895,0,1,2,NA,NA,NA,NA,-0.60347280127174,-0.253140046653302,NA,NA
"11","Topic 9 - English",8162,4079,2.00098063250797,5,1,0,-0.461397867866966,-0.720462953881944,-0.544056541664726,-0.409557021172048,NA,NA,NA,NA
"12","Topic 8 - English",7837,2337,3.35344458707745,0,1,1,NA,NA,NA,NA,-0.846354879053035,NA,NA,NA
"13","Topic 15 - English",5528,2860,1.93286713286713,1,0,0,0.353950272270739,NA,NA,NA,NA,NA,NA,NA
"14","Topic 16 - English",5522,3405,1.62173274596182,1,1,3,-0.981718968033438,NA,NA,NA,0.687701237484606,-0.882345653326771,-0.634572534847735,NA
"15","Topic 17 - English",5258,3265,1.6104134762634,3,1,1,0.432194767931688,-0.240145344135788,-0.198011310274959,NA,-0.888917533348506,NA,NA,NA
"16","Topic 14 - English",3501,1968,1.77896341463415,1,1,1,0.370462121356546,NA,NA,NA,-0.919311103125306,NA,NA,NA
"17","Topic 13 - English",3434,1935,1.77467700258398,1,0,0,0.281587944830627,NA,NA,NA,NA,NA,NA,NA
"18","Topic 18 - English",3416,1943,1.75810602161606,0,1,3,NA,NA,NA,NA,0.148403965742418,-0.366277388640332,-0.499800061697605,NA
"19","Topic 11 - English",3385,1708,1.98185011709602,1,0,0,0.506356245589336,NA,NA,NA,NA,NA,NA,NA
"20","Topic 10 - English",3073,1436,2.1399721448468,1,0,0,0.343465722784713,NA,NA,NA,NA,NA,NA,NA
