"","lang.topic","tweets","users","avg","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Topic 0 - English",2649566,106255,24.9359183097266,1,1,0,0.521375905268272,NA,NA,NA,NA,NA,NA,NA
"2","Topic 1 - English",1172222,39451,29.7133659476312,0,1,1,NA,NA,NA,NA,0.35380021323977,NA,NA,NA
"3","Topic 2 - English",529338,12121,43.6711492451118,0,1,4,NA,NA,NA,NA,0.399933250089694,-0.167906632608061,-0.00916406671242354,0.308903107456379
"4","Topic 3 - English",266454,5151,51.7285963890507,1,1,3,-0.827492469089193,NA,NA,NA,1.43100889282362,0.488545957576041,-0.208500441731736,NA
"5","Topic 4 - English",133054,4136,32.1697292069632,0,1,4,NA,NA,NA,NA,0.360048237525751,-0.165177090185782,0.132387009794659,0.465477756459676
"6","Topic 5 - English",74958,2871,26.1086729362591,0,1,4,NA,NA,NA,NA,0.585015717007583,0.173569812082385,0.414339189569797,0.417442752476147
"7","Topic 6 - English",32479,1571,20.6740929344367,0,2,1,NA,NA,NA,NA,-0.910842486878485,NA,NA,NA
"8","Topic 7 - English",22639,2783,8.13474667624865,3,0,0,1.30997363519231,-0.0966581746578919,-0.333212705075124,NA,NA,NA,NA,NA
"9","Spanish",20334,2028,10.0266272189349,0,1,1,NA,NA,NA,NA,0.218614271763985,NA,NA,NA
"10","Topic 12 - English",9238,6439,1.4346948283895,1,1,0,0.405759596843171,NA,NA,NA,NA,NA,NA,NA
"11","Topic 9 - English",8162,4079,2.00098063250797,1,1,3,-0.813714099813334,NA,NA,NA,1.29991465953109,0.239800471265517,-0.355657383960284,NA
"12","Topic 8 - English",7837,2337,3.35344458707745,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"13","Topic 15 - English",5528,2860,1.93286713286713,2,1,3,1.80070380930802,-0.869500832003341,NA,NA,-1.5396667061819,0.412140390348982,0.147389893323425,NA
"14","Topic 16 - English",5522,3405,1.62173274596182,0,1,4,NA,NA,NA,NA,0.413774932306322,-0.274379411666116,0.469706076068143,0.876167323855592
"15","Topic 17 - English",5258,3265,1.6104134762634,0,1,1,NA,NA,NA,NA,0.550580302832009,NA,NA,NA
"16","Topic 14 - English",3501,1968,1.77896341463415,3,1,2,0.0382709581661415,-0.465053000336908,0.183039637426427,NA,0.331915169368494,0.956147270233686,NA,NA
"17","Topic 13 - English",3434,1935,1.77467700258398,4,0,0,0.997398162843376,0.0293132991496773,0.193627879641787,-0.307971025157265,NA,NA,NA,NA
"18","Topic 18 - English",3416,1943,1.75810602161606,5,1,0,1.17262287818548,-0.625480550832293,-0.108370837647851,0.729308165831697,NA,NA,NA,NA
"19","Topic 11 - English",3385,1708,1.98185011709602,1,1,0,0.52855266992503,NA,NA,NA,NA,NA,NA,NA
"20","Topic 10 - English",3073,1436,2.1399721448468,3,0,0,1.1514283011376,0.0353635942207916,-0.292027637215585,NA,NA,NA,NA,NA
