"","x"
"Arabic",1
"Chinese",1
"Czech",1
"Danish",1
"Dutch",2
"English",1
"Filipino",1
"Finnish",1
"French",3
"German",3
"Hebrew",1
"Hindi",1
"Hungarian",1
"Indonesian",1
"Italian",4
"Japanese",1
"Korean",1
"Malay",1
"Norwegian",1
"Persian",1
"Polish",1
"Portuguese",2
"Romanian",1
"Russian",5
"Spanish",5
"Swedish",1
"Thai",1
"Topic 0 - English",5
"Topic 0 - Turkish",2
"Topic 10 - Turkish",5
"Topic 11 - Turkish",5
"Topic 12 - Turkish",4
"Topic 13 - Turkish",3
"Topic 14 - Turkish",1
"Topic 15 - Turkish",2
"Topic 16 - Turkish",1
"Topic 1 - English",4
"Topic 1 - Turkish",2
"Topic 2 - English",1
"Topic 2 - Turkish",4
"Topic 3 - Turkish",3
"Topic 4 - Turkish",5
"Topic 5 - Turkish",1
"Topic 6 - Turkish",2
"Topic 7 - Turkish",3
"Topic 8 - Turkish",3
"Topic 9 - Turkish",3
"Turkish",1
"Ukrainian",1
"Vietnamese",1
