"","lang.topic","1day","2day","3day","4day","5day","6day","7day","avg"
"1","Topic 0 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.2322
"2","Topic 1 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.4285
"3","Topic 2 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.5273
"4","Topic 3 - Turkish",NA,NA,NA,NA,NA,NA,NA,1.0064
"5","Topic 0 - English",NA,NA,NA,NA,NA,NA,NA,0.1152
"6","Topic 4 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.6397
"7","Topic 2 - English",NA,NA,NA,NA,NA,NA,NA,0.5911
"8","Topic 5 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.6335
"9","Topic 1 - English",NA,NA,NA,NA,NA,NA,NA,0.5527
"10","Topic 6 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.3527
"11","Topic 7 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.1112
"12","Arabic",NA,NA,NA,NA,NA,NA,NA,0.0884
"13","Topic 16 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.0273
"14","Topic 8 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.0469
"15","Topic 9 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.0236
"16","German",NA,NA,NA,NA,NA,NA,NA,0.0911
"17","Russian",NA,NA,NA,NA,NA,NA,NA,0.0722
"18","French",NA,NA,NA,NA,NA,NA,NA,0.086
"19","Topic 13 - Turkish",NA,NA,NA,NA,NA,NA,NA,0.0237
