"","topic","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Topic 0 - English",1,1,3,-0.969157900254754,NA,NA,NA,0.497956840814939,-0.823861568196352,-0.449871335344437,NA
"2","Topic 0 - Turkish",2,0,2,-1.08352717981941,-0.181502584655942,NA,NA,1.41902605462011,0.588117215055872,NA,NA
"3","Topic 10 - Turkish",1,0,1,0.916891246377614,NA,NA,NA,-0.702902834139831,NA,NA,NA
"4","Topic 11 - Turkish",0,0,1,NA,NA,NA,NA,0.415991460034107,NA,NA,NA
"5","Topic 12 - Turkish",0,1,2,NA,NA,NA,NA,-0.617897639940413,-0.176957338783188,NA,NA
"6","Topic 13 - Turkish",1,0,1,0.921873954584396,NA,NA,NA,-0.603501085472215,NA,NA,NA
"7","Topic 14 - Turkish",0,1,1,NA,NA,NA,NA,-0.906824599770285,NA,NA,NA
"8","Topic 15 - Turkish",0,0,3,NA,NA,NA,NA,0.439396728046257,0.167508155037774,0.327539769237508,NA
"9","Topic 16 - Turkish",0,1,3,NA,NA,NA,NA,-0.62520123992166,-0.0160734086641682,-0.235859643592681,NA
"10","Topic 1 - English",1,1,1,0.333999781180199,NA,NA,NA,-0.935954040124902,NA,NA,NA
"11","Topic 1 - Turkish",1,0,0,0.365949357874923,NA,NA,NA,NA,NA,NA,NA
"12","Topic 2 - English",0,1,1,NA,NA,NA,NA,-0.755474335961979,NA,NA,NA
"13","Topic 2 - Turkish",0,0,4,NA,NA,NA,NA,0.405230195961273,0.241851825384224,-0.00771460318301514,0.335953510958392
"14","Topic 3 - Turkish",2,0,1,-0.280794997378247,0.507249037585079,NA,NA,0.71217447067885,NA,NA,NA
"15","Topic 4 - Turkish",0,0,4,NA,NA,NA,NA,0.558572943225326,0.695475513292412,0.0803776822049852,0.597874903859635
"16","Topic 5 - Turkish",1,1,1,0.653315402477247,NA,NA,NA,-0.950740793758359,NA,NA,NA
"17","Topic 6 - Turkish",0,0,2,NA,NA,NA,NA,0.278039352820435,0.280475476112449,NA,NA
"18","Topic 7 - Turkish",2,0,3,-1.67119955896932,-0.824949800312905,NA,NA,2.11870510418542,1.54316428851139,0.41114349264561,NA
"19","Topic 8 - Turkish",1,0,0,0.352555208800639,NA,NA,NA,NA,NA,NA,NA
"20","Topic 9 - Turkish",0,1,2,NA,NA,NA,NA,-0.420051459337043,-0.34354190691088,NA,NA
