"","lang.topic","tweets","users","avg","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Topic 0 - Turkish",2207437,104193,21.1860393692475,2,0,2,-0.0980075882411002,0.787010636350716,NA,NA,1.49081018104789,0.675399741145364,NA,NA
"2","Topic 1 - Turkish",975742,24927,39.1439804228347,2,0,0,1.3706168468548,-0.456065699949574,NA,NA,NA,NA,NA,NA
"3","Topic 2 - Turkish",509593,10590,48.1202077431539,3,0,1,0.507294365374293,0.857183129848115,-0.538383347488248,NA,0.87567133104727,NA,NA,NA
"4","Topic 3 - Turkish",370899,4030,92.0344913151365,2,1,2,-0.00889272889610094,-0.467141380792931,NA,NA,0.407531879345732,0.845042363367413,NA,NA
"5","Topic 0 - English",223260,21200,10.5311320754717,2,1,1,-0.467456118721361,0.489498028408553,NA,NA,0.87354570319547,NA,NA,NA
"6","Topic 4 - Turkish",220801,3780,58.412962962963,2,0,0,1.62688191685079,-0.688011782338666,NA,NA,NA,NA,NA,NA
"7","Topic 2 - English",149365,2762,54.078566256336,2,1,1,-0.478218397233988,0.457805607498857,NA,NA,0.829175067491109,NA,NA,NA
"8","Topic 5 - Turkish",130626,2259,57.8247011952191,1,1,0,0.617480430840342,NA,NA,NA,NA,NA,NA,NA
"9","Topic 1 - English",103097,2038,50.5873405299313,1,1,0,0.448362961291443,NA,NA,NA,NA,NA,NA,NA
"10","Topic 6 - Turkish",43650,1353,32.2616407982262,1,1,2,-0.959810386516378,NA,NA,NA,1.32802252463909,0.427869770766235,NA,NA
"11","Topic 7 - Turkish",23709,2338,10.1407185628743,1,0,1,0.851174870842087,NA,NA,NA,0.574639084642614,NA,NA,NA
"12","Arabic",19474,1699,11.4620364920541,2,0,3,1.67254895504933,-0.787205074603371,NA,NA,-0.276440325101157,0.20315417787436,0.344653077906383,NA
"13",NA,17673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Topic 16 - Turkish",11327,4542,2.49383531483928,2,1,2,-0.0291505863639707,-0.462602160007668,NA,NA,0.369015988490354,0.973622983149138,NA,NA
"15","Topic 8 - Turkish",9580,2238,4.28060768543342,1,0,4,0.77157531174331,NA,NA,NA,0.496572554757829,0.151580507875382,0.472252272392158,0.468590372467719
"16","Topic 9 - Turkish",8638,4008,2.15518962075848,4,1,1,1.01734475033939,-0.325164105822904,0.284260942325256,-0.403106521923868,-0.589116309621282,NA,NA,NA
"17","German",6448,559,11.5348837209302,2,1,3,-0.574954707927967,-0.68073088731189,NA,NA,0.984659034925809,1.187656071367,0.504670497214101,NA
"18","Russian",5943,639,9.30046948356808,2,0,1,1.63421761251088,-0.688677654459758,NA,NA,-0.422906894234823,NA,NA,NA
"19","French",5360,475,11.2842105263158,0,1,2,NA,NA,NA,NA,0.230283132663688,0.371943169880668,NA,NA
"20","Topic 13 - Turkish",4110,1891,2.17345319936542,0,2,2,NA,NA,NA,NA,-0.729279485761626,0.223069774029889,NA,NA
