"","x"
"Arabic",1
"Chinese",2
"Czech",3
"Danish",4
"Dutch",4
"English",2
"Filipino",4
"Finnish",4
"French",4
"German",4
"Hebrew",2
"Hungarian",2
"Indonesian",3
"Italian",3
"Japanese",4
"Korean",3
"Malay",4
"Norwegian",5
"Persian",4
"Polish",5
"Portuguese",2
"Romanian",2
"Russian",3
"Spanish",1
"Swedish",4
"Thai",1
"Topic 0 - English",3
"Topic 10 - English",1
"Topic 11 - English",1
"Topic 12 - English",1
"Topic 13 - English",1
"Topic 14 - English",1
"Topic 15 - English",1
"Topic 16 - English",1
"Topic 17 - English",1
"Topic 18 - English",1
"Topic 19 - English",1
"Topic 1 - English",3
"Topic 2 - English",3
"Topic 3 - English",3
"Topic 4 - English",3
"Topic 5 - English",3
"Topic 6 - English",3
"Topic 7 - English",4
"Topic 8 - English",1
"Topic 9 - English",1
"Turkish",3
"Ukrainian",3
"Vietnamese",2
