"","lang.topic","1day","2day","3day","4day","5day","6day","7day","avg"
"1","Topic 0 - English",0.000568152416717518,0.00076068355047079,0.000793306246069671,0.000857988668042543,0.000885933882405518,0.000890942970436933,0.000966799080601963,0.2132
"2","Topic 1 - English",0.00258860586041866,0.00427949395103488,0.00433584039093863,0.00418697543256428,0.00353763667887786,0.00377533734772808,0.0042759255632454,0.3786
"3","Topic 2 - English",0.008012800081002,0.0147385653377703,0.0154227771389162,0.0150664050850248,0.0128637515116491,0.0127927866506212,0.0158132771248809,0.6342
"4","Topic 3 - English",0.0136971234860724,0.0284418414774798,0.0300642560755395,0.030443722913198,0.0254060766983087,0.0236646424512703,0.0295328328927723,0.782
"5","Topic 4 - English",0.0226542781670442,0.0253257684622726,0.028878913615581,0.0265007710077032,0.0266278449534487,0.0189033294268492,0.0257055922480545,1.0737
"6","Topic 5 - English",0.00817095878449503,0.00979381716656709,0.010344293604889,0.010373509000882,0.0105630860679501,0.00974865659289229,0.0119637149835754,0.5944
"7","Topic 6 - English",0.00268483837080428,0.00300124476886894,0.00336067178651539,0.00374374546581012,0.00381130320362314,0.00400131378110964,0.00413781091033389,0.3782
"8","Spanish",0.000150265536805024,0.00016145783332125,0.00014298758980187,0.000174904373270032,0.000188068939549192,0.000164728727444728,0.000177113937300792,0.0801
"9","Topic 16 - English",5.06231809959075e-05,5.59883026467772e-05,5.60075949580618e-05,5.62559978582994e-05,5.65995405545622e-05,5.63508047272664e-05,5.80489299926163e-05,0.1031
"10","Topic 7 - English",0.000554846802244639,0.000636833048213108,0.000660830940404385,0.000743792363536178,0.000888200360813912,0.000861681013962093,0.000810996413357885,0.1334
"11","Topic 8 - English",7.33152153144567e-05,8.86022939349158e-05,8.12248058539932e-05,8.4509013293618e-05,8.93713827057321e-05,8.75461723805123e-05,8.98520652808894e-05,0.057
"12","Japanese",0.000459748755778495,0.000663110249463169,0.000699514418952669,0.000768854609853117,0.000857687213207403,0.000865688143906211,0.000869036471892462,0.0952
"13","Portuguese",0.000682524986513427,0.000766182797885663,0.000778914200500561,0.00086246790284063,0.000882122885366239,0.000922728652875387,0.000878592250658399,0.0968
"14","Topic 12 - English",4.28396414610662e-05,5.04390594347543e-05,4.0114502540028e-05,4.29018718010654e-05,4.14779775803657e-05,5.17097509307293e-05,5.35928966889892e-05,0.0226
"15","French",0.000698328555873945,0.000751086705910082,0.000808579330360162,0.00084721915742608,0.000857388270617838,0.00083004480539779,0.000837881393541974,0.0834
"16","Topic 19 - English",1.20437693107688e-05,1.46726877441261e-05,1.7261390503923e-05,1.8065668386786e-05,1.43586191983576e-05,1.15080988384602e-05,1.1740481584189e-05,0.0157
"17","Topic 17 - English",2.17346770349262e-05,3.24413364906576e-05,3.55812913308198e-05,3.33167749535665e-05,3.08896402729405e-05,3.11519509479118e-05,2.75847198348401e-05,0.0169
"18","Topic 9 - English",5.91252666481196e-05,6.17526748952705e-05,6.33659408029811e-05,6.67473772975354e-05,5.93580596336293e-05,6.04672298532407e-05,6.35586202449393e-05,0.0206
"19","Topic 15 - English",2.21592784989176e-05,2.29287638215066e-05,2.02946583221139e-05,2.0289886680552e-05,1.94543217814732e-05,2.2072302559907e-05,1.94732334516004e-05,0.0171
"20","Arabic",0.00225107708430021,0.00298570864188443,0.00334017521829537,0.00364449805177117,0.00364124956515554,0.00375545820421537,0.00371465093252589,0.1452
