"","lang.topic","tweets","users","avg","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Topic 0 - English",3281452,167043,19.6443550463054,1,1,1,0.390586222212486,NA,NA,NA,-0.85337885871107,NA,NA,NA
"2","Topic 1 - English",2589327,74233,34.8810771489769,0,1,2,NA,NA,NA,NA,-0.593905395160225,-0.243280723943813,NA,NA
"3","Topic 2 - English",1460254,25007,58.3938097332747,0,1,2,NA,NA,NA,NA,-0.598922414315064,-0.245837964258647,NA,NA
"4","Topic 3 - English",759622,10539,72.0772369294999,0,1,2,NA,NA,NA,NA,-0.564703106916304,-0.27611295094672,NA,NA
"5","Topic 4 - English",381872,3866,98.7770305225039,2,1,3,-1.08690393748076,-0.499034094880819,NA,NA,0.594711736723025,-0.391112849655559,-0.778674635812857,NA
"6","Topic 5 - English",175535,3208,54.7178927680798,1,1,1,0.442176168079637,NA,NA,NA,-0.923525950631676,NA,NA,NA
"7","Topic 6 - English",86193,2474,34.8395311236863,0,1,1,NA,NA,NA,NA,-0.608628344599492,NA,NA,NA
"8","Spanish",69461,8224,8.44613326848249,3,0,0,0.295633122554739,0.0275152266299292,0.218954711956842,NA,NA,NA,NA,NA
"9","Topic 16 - English",49649,5232,9.4894877675841,0,0,1,NA,NA,NA,NA,0.425764298857975,NA,NA,NA
"10","Topic 7 - English",33605,2736,12.2825292397661,0,1,1,NA,NA,NA,NA,-0.684844955826568,NA,NA,NA
"11","Topic 8 - English",24140,4603,5.24440582228981,0,1,2,NA,NA,NA,NA,-0.483136815523721,-0.337262899601637,NA,NA
"12","Japanese",22409,2196,10.2044626593807,0,1,2,NA,NA,NA,NA,-0.300153220668125,-0.388013976012298,NA,NA
"13","Portuguese",17869,1673,10.6808129109384,0,1,1,NA,NA,NA,NA,-0.792924317656541,NA,NA,NA
"14","Topic 12 - English",12321,5912,2.08406630581867,5,1,0,-0.297119823039577,-0.485049448832609,-0.394976808786579,-0.340431681939735,NA,NA,NA,NA
"15","French",10459,1184,8.83361486486486,1,0,1,0.706053782224316,NA,NA,NA,-0.373561376525654,NA,NA,NA
"16","Topic 19 - English",8417,5829,1.44398696174301,2,0,2,1.06020036819949,-0.916834193867213,NA,NA,-0.800042163515369,0.884518853288898,NA,NA
"17","Topic 17 - English",7785,5013,1.55296229802513,2,0,2,1.18214425568454,-0.937693897535647,NA,NA,-0.928491327165424,0.835819186690005,NA,NA
"18","Topic 9 - English",7465,3928,1.9004582484725,0,0,1,NA,NA,NA,NA,0.404146349747134,NA,NA,NA
"19","Topic 15 - English",6709,4267,1.57229903913757,3,1,2,0.707800414180245,-0.413894783325188,-0.247508544607404,NA,-1.30613191299499,0.526574173838581,NA,NA
"20","Arabic",6159,426,14.4577464788732,1,0,0,0.591507437981349,NA,NA,NA,NA,NA,NA,NA
