"","topic","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Arabic",1,0,0,0.687490996209828,NA,NA,NA,NA,NA,NA,NA
"2","Chinese",0,0,2,NA,NA,NA,NA,0.354181798015137,0.272400579046119,NA,NA
"3","Czech",0,0,1,NA,NA,NA,NA,0.393118498079426,NA,NA,NA
"4","Danish",2,1,1,0.119748394901514,0.338310845030913,NA,NA,-0.948970510769367,NA,NA,NA
"5","Dutch",1,0,0,0.284887865077798,NA,NA,NA,NA,NA,NA,NA
"6","English",0,1,2,NA,NA,NA,NA,-0.622825166234753,-0.24325951101766,NA,NA
"7","Filipino",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","Finnish",0,0,1,NA,NA,NA,NA,0.277972109792708,NA,NA,NA
"9","French",0,1,1,NA,NA,NA,NA,-0.72824348303173,NA,NA,NA
"10","German",1,1,1,0.280148455922144,NA,NA,NA,-0.834868263750724,NA,NA,NA
"11","Hebrew",0,0,1,NA,NA,NA,NA,0.368582178793696,NA,NA,NA
"12","Hindi",0,1,4,NA,NA,NA,NA,-0.836502209792573,0.232804828653709,0.427425167114075,-0.555662012948788
"13","Hungarian",1,1,3,-0.838065629218742,NA,NA,NA,0.446848172561403,-0.643299217504737,-0.501148901773236,NA
"14","Indonesian",0,0,4,NA,NA,NA,NA,0.154390566837406,0.0905524919777123,0.28446003764501,-0.282893637881642
"15","Italian",1,0,0,0.28506478609288,NA,NA,NA,NA,NA,NA,NA
"16","Japanese",0,0,3,NA,NA,NA,NA,0.267722632763984,0.383472414304391,0.24665044089866,NA
"17","Korean",0,0,1,NA,NA,NA,NA,0.676981188604327,NA,NA,NA
"18","Malay",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"19","Norwegian",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"20","Persian",1,0,4,-0.746485897261841,NA,NA,NA,1.08633704596936,0.441229581834354,0.477651392667514,0.505621156807711
"21","Polish",0,0,5,NA,NA,NA,NA,0.294220216175318,0.196749022387026,0.491110485330015,0.18356797183272
"22","Portuguese",0,0,2,NA,NA,NA,NA,0.413338780352332,0.275118513325454,NA,NA
"23","Romanian",0,0,1,NA,NA,NA,NA,0.369400098364556,NA,NA,NA
"24","Russian",1,0,0,0.362265368471782,NA,NA,NA,NA,NA,NA,NA
"25","Spanish",1,0,0,0.578057574487044,NA,NA,NA,NA,NA,NA,NA
"26","Swedish",0,1,1,NA,NA,NA,NA,-0.930106181881225,NA,NA,NA
"27","Thai",1,0,4,-0.672081744937432,NA,NA,NA,1.41329453324007,1.04751906979666,0.985141318325924,0.694145070184631
"28","Topic 0 - English",1,1,3,-0.969157900254754,NA,NA,NA,0.497956840814939,-0.823861568196352,-0.449871335344437,NA
"29","Topic 0 - Turkish",2,0,2,-1.08352717981941,-0.181502584655942,NA,NA,1.41902605462011,0.588117215055872,NA,NA
"30","Topic 10 - Turkish",1,0,1,0.916891246377614,NA,NA,NA,-0.702902834139831,NA,NA,NA
"31","Topic 11 - Turkish",0,0,1,NA,NA,NA,NA,0.415991460034107,NA,NA,NA
"32","Topic 12 - Turkish",0,1,2,NA,NA,NA,NA,-0.617897639940413,-0.176957338783188,NA,NA
"33","Topic 13 - Turkish",1,0,1,0.921873954584396,NA,NA,NA,-0.603501085472215,NA,NA,NA
"34","Topic 14 - Turkish",0,1,1,NA,NA,NA,NA,-0.906824599770285,NA,NA,NA
"35","Topic 15 - Turkish",0,0,3,NA,NA,NA,NA,0.439396728046257,0.167508155037774,0.327539769237508,NA
"36","Topic 16 - Turkish",0,1,3,NA,NA,NA,NA,-0.62520123992166,-0.0160734086641682,-0.235859643592681,NA
"37","Topic 1 - English",1,1,1,0.333999781180199,NA,NA,NA,-0.935954040124902,NA,NA,NA
"38","Topic 1 - Turkish",1,0,0,0.365949357874923,NA,NA,NA,NA,NA,NA,NA
"39","Topic 2 - English",0,1,1,NA,NA,NA,NA,-0.755474335961979,NA,NA,NA
"40","Topic 2 - Turkish",0,0,4,NA,NA,NA,NA,0.405230195961273,0.241851825384224,-0.00771460318301514,0.335953510958392
"41","Topic 3 - Turkish",2,0,1,-0.280794997378247,0.507249037585079,NA,NA,0.71217447067885,NA,NA,NA
"42","Topic 4 - Turkish",0,0,4,NA,NA,NA,NA,0.558572943225326,0.695475513292412,0.0803776822049852,0.597874903859635
"43","Topic 5 - Turkish",1,1,1,0.653315402477247,NA,NA,NA,-0.950740793758359,NA,NA,NA
"44","Topic 6 - Turkish",0,0,2,NA,NA,NA,NA,0.278039352820435,0.280475476112449,NA,NA
"45","Topic 7 - Turkish",2,0,3,-1.67119955896932,-0.824949800312905,NA,NA,2.11870510418542,1.54316428851139,0.41114349264561,NA
"46","Topic 8 - Turkish",1,0,0,0.352555208800639,NA,NA,NA,NA,NA,NA,NA
"47","Topic 9 - Turkish",0,1,2,NA,NA,NA,NA,-0.420051459337043,-0.34354190691088,NA,NA
"48","Turkish",0,0,1,NA,NA,NA,NA,0.240859236750816,NA,NA,NA
"49","Ukrainian",0,0,2,NA,NA,NA,NA,-0.082326960799476,0.454922445175259,NA,NA
"50","Vietnamese",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"51","<NA>",1,0,4,0.801005569342657,NA,NA,NA,-0.730672641564339,-0.0693606315173224,-0.17573836874003,0.450398433132153
