"","topic","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Arabic",2,0,3,1.67254895504933,-0.787205074603371,NA,NA,-0.276440325101157,0.20315417787436,0.344653077906383,NA
"2","Chinese",1,1,0,0.376917046234323,NA,NA,NA,NA,NA,NA,NA
"3","Czech",1,0,1,0.81397061761579,NA,NA,NA,0.445621248659194,NA,NA,NA
"4","Danish",0,1,2,NA,NA,NA,NA,0.212098060076336,0.359215830682212,NA,NA
"5","Dutch",1,1,0,0.313887363781373,NA,NA,NA,NA,NA,NA,NA
"6","English",1,1,0,0.247810476395565,NA,NA,NA,NA,NA,NA,NA
"7","Filipino",1,0,0,0.843135435416762,NA,NA,NA,NA,NA,NA,NA
"8","Finnish",1,0,1,0.825105691188501,NA,NA,NA,0.420526780518536,NA,NA,NA
"9","French",0,1,2,NA,NA,NA,NA,0.230283132663688,0.371943169880668,NA,NA
"10","German",2,1,3,-0.574954707927967,-0.68073088731189,NA,NA,0.984659034925809,1.187656071367,0.504670497214101,NA
"11","Hebrew",0,1,1,NA,NA,NA,NA,0.409233887983853,NA,NA,NA
"12","Hindi",1,1,3,0.513533603934036,NA,NA,NA,-0.438387321876657,0.194003804006885,0.643496069712641,NA
"13","Hungarian",1,1,2,-0.924687705234803,NA,NA,NA,1.6395933402604,0.814458020400825,NA,NA
"14","Indonesian",4,0,1,0.620057458547876,0.349240210656169,0.217091062367139,-0.48136683557159,0.443569694481311,NA,NA,NA
"15","Italian",0,1,5,NA,NA,NA,NA,0.209813015544345,0.593245658906511,0.192218694997015,0.129297842208103
"16","Japanese",4,0,0,1.10063790357892,0.0739453737680272,-0.127943181432156,-0.198005169429628,NA,NA,NA,NA
"17","Korean",1,0,1,0.840949598462749,NA,NA,NA,0.681755312909151,NA,NA,NA
"18","Malay",1,0,0,0.813937740981398,NA,NA,NA,NA,NA,NA,NA
"19","Norwegian",1,0,0,0.857353544870715,NA,NA,NA,NA,NA,NA,NA
"20","Persian",3,1,2,-0.546755920769404,-0.355901209552364,0.418120286925107,NA,0.693532817568833,0.723666898998702,NA,NA
"21","Polish",4,0,1,0.784102052682014,0.226510423227858,0.309991167880719,-0.469166061749939,0.597794877589554,NA,NA,NA
"22","Portuguese",5,0,0,1.36697083232918,-0.351686962049377,-0.311618294444915,0.486147715137256,NA,NA,NA,NA
"23","Romanian",2,0,0,1.27556848081908,-0.399863633513249,NA,NA,NA,NA,NA,NA
"24","Russian",2,0,1,1.63421761251088,-0.688677654459758,NA,NA,-0.422906894234823,NA,NA,NA
"25","Spanish",2,0,0,1.51579047483942,-0.610583796005775,NA,NA,NA,NA,NA,NA
"26","Swedish",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"27","Thai",2,1,2,1.53595092238335,-0.864678334135972,NA,NA,-1.27721875056163,0.923811603336305,NA,NA
"28","Topic 0 - English",2,1,1,-0.467456118721361,0.489498028408553,NA,NA,0.87354570319547,NA,NA,NA
"29","Topic 0 - Turkish",2,0,2,-0.0980075882411002,0.787010636350716,NA,NA,1.49081018104789,0.675399741145364,NA,NA
"30","Topic 10 - Turkish",3,0,1,0.280856755584282,0.915551857210105,-0.26395482041593,NA,0.824532203691264,NA,NA,NA
"31","Topic 11 - Turkish",0,1,1,NA,NA,NA,NA,0.251349188312717,NA,NA,NA
"32","Topic 12 - Turkish",0,1,5,NA,NA,NA,NA,0.0836337472954982,0.600829228589945,0.371122321039784,0.343414147414138
"33","Topic 13 - Turkish",0,2,2,NA,NA,NA,NA,-0.729279485761626,0.223069774029889,NA,NA
"34","Topic 14 - Turkish",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"35","Topic 15 - Turkish",4,1,0,0.428423193430154,-0.0963530017800103,0.403650664335062,-0.403010929529647,NA,NA,NA,NA
"36","Topic 16 - Turkish",2,1,2,-0.0291505863639707,-0.462602160007668,NA,NA,0.369015988490354,0.973622983149138,NA,NA
"37","Topic 1 - English",1,1,0,0.448362961291443,NA,NA,NA,NA,NA,NA,NA
"38","Topic 1 - Turkish",2,0,0,1.3706168468548,-0.456065699949574,NA,NA,NA,NA,NA,NA
"39","Topic 2 - English",2,1,1,-0.478218397233988,0.457805607498857,NA,NA,0.829175067491109,NA,NA,NA
"40","Topic 2 - Turkish",3,0,1,0.507294365374293,0.857183129848115,-0.538383347488248,NA,0.87567133104727,NA,NA,NA
"41","Topic 3 - Turkish",2,1,2,-0.00889272889610094,-0.467141380792931,NA,NA,0.407531879345732,0.845042363367413,NA,NA
"42","Topic 4 - Turkish",2,0,0,1.62688191685079,-0.688011782338666,NA,NA,NA,NA,NA,NA
"43","Topic 5 - Turkish",1,1,0,0.617480430840342,NA,NA,NA,NA,NA,NA,NA
"44","Topic 6 - Turkish",1,1,2,-0.959810386516378,NA,NA,NA,1.32802252463909,0.427869770766235,NA,NA
"45","Topic 7 - Turkish",1,0,1,0.851174870842087,NA,NA,NA,0.574639084642614,NA,NA,NA
"46","Topic 8 - Turkish",1,0,4,0.77157531174331,NA,NA,NA,0.496572554757829,0.151580507875382,0.472252272392158,0.468590372467719
"47","Topic 9 - Turkish",4,1,1,1.01734475033939,-0.325164105822904,0.284260942325256,-0.403106521923868,-0.589116309621282,NA,NA,NA
"48","Turkish",0,1,1,NA,NA,NA,NA,0.243284454851816,NA,NA,NA
"49","Ukrainian",4,0,0,0.769721263520013,0.559917775665854,-0.294344324712512,-0.247401319592181,NA,NA,NA,NA
"50","Vietnamese",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"51","<NA>",0,1,5,NA,NA,NA,NA,0.117427983842906,0.191556871319615,-0.0201279562901557,0.135551595568654
