ID,membership_ch
98975,22
133869,20
103061,33
186326,26
210877,26
206429,34
131231,26
105879,31
98067,29
171913,25
24449,34
155404,23
33317,34
71039,34
78619,31
147393,20
117263,36
154328,1
70052,34
111191,26
93221,34
207819,29
100882,2
62858,36
117889,31
127278,23
59811,25
162344,31
24818,34
15413,25
42127,22
83839,25
29532,29
33599,36
43723,25
112539,26
47507,31
169222,26
34841,26
47825,34
97576,36
184240,31
88916,23
166832,34
99250,27
160407,25
59670,31
30484,34
69867,9
39034,34
115199,31
126,23
178879,20
35966,34
35221,34
98278,20
208873,32
60550,23
114891,34
60615,34
23464,25
206446,20
152896,22
134267,34
185669,22
191334,35
216121,33
141593,22
130946,20
63298,36
9307,29
197590,23
11872,3
146404,4
58196,29
208780,22
42459,34
33964,34
89581,34
14743,33
97679,22
24248,34
153556,31
20681,34
17418,22
186056,22
131822,5
30008,22
220866,23
35598,25
58291,34
138106,22
143649,22
219859,29
199704,27
121071,31
65572,6
218103,23
213147,31
111570,32
141018,33
171902,33
21418,29
124361,29
92948,31
38284,33
199091,33
71314,22
71504,31
153932,36
82523,7
26113,20
146513,27
195674,31
220161,20
24481,22
130238,33
192868,20
169027,33
140328,33
98657,25
154426,31
130701,20
197736,27
14195,25
132931,26
88012,34
29255,34
174368,36
28572,34
188329,33
66669,34
192264,33
94057,8
217895,25
86313,29
138631,33
62119,22
215308,25
133158,25
144694,23
72716,33
217203,36
111288,9
133214,36
42345,36
152644,29
54374,34
101042,22
131699,27
167208,26
119651,35
91555,34
54752,26
204803,29
80248,36
102372,34
123960,29
186317,32
90573,33
85541,22
168624,34
129814,23
188858,25
136693,26
96798,27
68742,25
124309,32
9114,22
193487,27
45500,26
45902,31
189159,36
14231,10
125897,31
193408,34
111534,29
7051,20
123649,20
49146,36
128328,29
143157,11
148291,12
56997,22
109078,20
61770,31
164712,26
158595,34
184227,22
51488,34
52917,25
40670,34
219660,23
45781,34
205778,27
146748,34
91701,22
72655,32
109838,34
133434,26
27586,33
75861,29
219559,25
88453,34
60664,26
136069,31
188267,34
134654,23
58684,22
25377,20
170272,34
154641,31
7639,36
75950,20
54655,34
120149,20
848,34
166261,34
112830,25
122653,34
111535,31
219933,26
149235,34
189842,26
148308,27
11504,33
179112,13
143516,23
6001,36
141963,14
82,29
200694,29
25932,20
145834,25
179054,22
109815,22
143180,22
92075,22
180951,15
103868,29
24594,27
135095,27
9660,25
70341,32
77918,34
65034,20
160743,31
89630,34
85531,29
33511,34
30087,25
217134,31
199999,29
90175,34
158101,23
164608,31
59419,34
201289,26
152129,29
203335,25
82535,25
187147,23
135956,23
161656,23
98647,36
86166,34
25795,34
14197,31
106585,31
34434,34
146978,27
171895,25
169555,25
204103,34
69229,27
177969,22
106151,31
92535,26
211774,26
134403,20
122415,16
24739,34
115089,34
81487,32
35174,34
9561,34
151145,34
90540,35
205953,36
1426,36
54830,20
144282,34
71264,22
90795,31
91920,26
60696,34
56450,34
149742,34
116354,26
106826,34
143829,17
88906,26
56712,35
170883,31
132606,34
151969,18
21381,27
60970,20
215423,26
187272,22
197343,27
169852,25
50587,34
108194,25
121691,27
189061,31
203419,36
105954,31
165507,34
55378,23
95758,20
159587,19
72884,32
6298,34
109364,22
138721,26
158552,34
17129,29
119441,25
101691,32
49795,34
52061,23
159918,33
198022,33
37552,26
172022,33
23886,20
78929,27
59093,31
92966,29
102959,34
104432,34
93689,29
216026,21
94903,34
154675,20
194325,31
47547,34
147203,29
168938,35
12149,31
188639,27
195122,22
127851,34
145895,34
70862,27
112333,34
149254,36
202769,29
14574,34
113236,20
75475,34
201919,31
55277,23
157523,34
29549,34
164082,22
56767,31
143665,25
91354,34
40596,34
88490,24
81303,34
187703,33
203714,31
169974,25
77603,20
36210,25
117571,26
172588,29
30966,31
71979,31
208067,33
130910,34
105721,20
157046,27
26758,34
19298,22
118825,20
10777,31
100093,29
10733,33
136315,31
3665,28
105756,33
49748,34
183918,23
118846,34
15607,34
57254,36
126456,29
97692,34
52366,31
44866,34
13143,23
122538,33
174906,23
33447,34
155438,23
215809,32
88208,30
201824,22
134643,31
95004,26
85918,34
178845,34
61592,25
48444,27
54840,31
138210,34
89411,36
89724,34
192036,31
80288,34
189136,27
70881,20
203539,33
33855,33
180286,34
216752,20
128431,31
84658,22
137604,25
96760,36
26162,34
25509,33
215561,36
137111,27
139252,29
61230,34
212596,23
31704,34
114773,22
82875,34
22747,22
148269,31
104334,36
86999,34
1181,34
21647,25
79249,20
162901,9
21595,31
41978,34
61459,34
165231,20
201259,32
105732,20
189529,29
185761,31
81617,25
12341,35
46898,31
63036,34
111338,31
70586,32
97348,20
34244,34
3379,26
125217,33
212893,35
92946,34
110879,33
116100,36
101592,31
128240,25
110297,37
45948,34
206463,34
159872,25
164782,34
3664,34
205443,20
30194,33
81382,29
134735,34
54782,31
193025,23
135354,26
11693,34
174967,31
191207,26
29416,34
104570,22
40839,34
157913,22
182968,26
203745,20
139937,34
88459,26
