"","ID","membership_la"
"3","156956",17
"5","305959",26
"21","178451",22
"25","108839",17
"26","100703",22
"27","227667",22
"29","177813",26
"30","261668",17
"35","350941",22
"36","126661",22
"37","141810",22
"44","57304",22
"51","132138",26
"65","29164",26
"67","35400",17
"71","283577",17
"79","18758",17
"87","302493",17
"94","146340",17
"96","197306",17
"99","238755",22
"105","268526",17
"109","166922",26
"112","22347",22
"114","80352",17
"116","196256",17
"131","301665",26
"134","208172",22
"139","165970",22
"141","328381",26
"142","292418",17
"145","290580",26
"156","241160",32
"157","264009",26
"160","123163",22
"167","349924",22
"169","55349",26
"170","201403",26
"175","7667",22
"176","75130",17
"179","162922",26
"181","179987",33
"192","187008",22
"200","107048",22
"202","31700",17
"204","162101",17
"206","92270",17
"211","147105",17
"213","296167",26
"218","244122",22
"226","190958",22
"229","208083",17
"230","113307",26
"233","321731",26
"241","225134",22
"242","48569",22
"245","345442",26
"246","265125",26
"248","349080",17
"250","198729",22
"252","81596",17
"254","175919",26
"258","350274",26
"259","152205",17
"261","204025",17
"263","30605",22
"265","102987",22
"272","170979",26
"273","192157",17
"283","193847",26
"294","2329",22
"297","212313",22
"300","226846",8
"303","22924",26
"309","336342",26
"316","296287",26
"317","5860",22
"320","146032",22
"321","21088",17
"326","188845",22
"328","260598",17
"329","16391",22
"353","264188",26
"356","154403",11
"357","314340",17
"364","114527",22
"369","306266",26
"370","213503",22
"371","181917",17
"382","329272",26
"387","159625",17
"389","255118",22
"394","136069",17
"402","248812",17
"403","349126",17
"404","164305",17
"405","147018",18
"413","259314",26
"414","127076",20
"416","124217",26
"422","349957",22
"430","296018",17
"431","234689",24
"435","315938",22
"444","306501",26
"445","131817",17
"447","114072",22
"451","137905",22
"456","242514",17
"464","134128",26
"466","265506",22
"468","189733",22
"473","3945",22
"479","329972",17
"480","272160",22
"494","95022",28
"500","314868",29
