"","ID","membership_la"
"1","39376","33"
"2","64944","22"
"3","110420","24"
"4","62117","22"
"5","81140","32"
"6","41968","22"
"7","150814","22"
"8","31848","26"
"9","171326","22"
"10","165562","11"
"11","105032","20"
"12","28072","33"
"13","39179","17"
"14","179271","22"
"15","178075","22"
"16","115524","18"
"17","19082","18"
"18","163669","28"
"19","149659","17"
"20","30063","22"
"21","70376","29"
"22","34438","11"
"23","142549","33"
"24","28465","20"
"25","56378","24"
"26","136092","29"
"27","77341","29"
"28","69057","22"
"29","110628","32"
"30","152897","24"
"31","116522","20"
"32","76317","22"
"33","180400","28"
"34","138338","22"
"35","23040","29"
"36","134989","29"
"37","55447","29"
"38","161060","17"
"39","15215","22"
"40","5356","33"
"41","179768","22"
"42","51476","22"
"43","132925","20"
"44","132407","29"
"45","18570","28"
"46","21627","22"
"47","101085","22"
"48","177275","33"
"49","80860","33"
"51","69925","32"
"52","100630","22"
"53","109429","22"
"54","104947","8"
"55","36107","33"
"56","75805","22"
"57","168936","8"
"58","142752","22"
"60","82027","22"
"61","161281","28"
"62","117195","22"
"63","27032","28"
"64","76474","8"
"65","47551","32"
"66","63536","18"
"67","125935","24"
"68","157331","22"
"69","153541","33"
"70","145863","18"
"71","150524","24"
"72","119417","18"
"73","122255","22"
"74","70396","22"
"75","129531","20"
"76","147068","11"
"77","6002","22"
"78","88040","22"
"79","76196","24"
"81","78381","20"
"82","93793","22"
"83","96066","22"
"84","84050","20"
"85","72687","33"
"86","181333","28"
"87","112217","24"
"88","141444","22"
"89","147566","22"
"90","14460","8"
"91","110340","22"
"92","35145","17"
"93","45234","22"
"94","160336","24"
"95","175357","20"
"96","88224","24"
"97","108192","22"
"98","118283","26"
"99","88260","29"
"100","99154","22"
"101","19514","11"
"103","43578","22"
"104","75791","11"
"105","165318","24"
"106","39962","11"
"107","83477","22"
"108","19603","22"
"109","73842","32"
"110","5746","22"
"111","60388","22"
"112","161683","29"
"113","3725","18"
"114","177421","24"
"115","118658","22"
"116","18017","24"
"117","37751","22"
"118","123982","8"
"119","83480","22"
"120","143166","22"
"121","176739","11"
"122","41663","20"
"123","47573","22"
"124","175397","8"
"125","29881","17"
"126","80638","20"
"127","26369","22"
"128","15632","22"
"129","100173","18"
"130","163198","22"
"131","146576","32"
"132","59296","18"
"133","15265","8"
"134","165792","29"
"135","125346","8"
"136","95450","22"
"137","92873","33"
"138","102926","22"
"139","162245","29"
"140","174445","22"
"141","61305","32"
"142","100900","24"
"144","169633","22"
"145","105163","32"
"146","138098","11"
"147","14590","26"
"148","76290","33"
"149","132912","22"
"150","45736","22"
"151","129401","22"
"152","96178","22"
"153","86984","22"
"154","156820","17"
"155","18005","22"
"157","120388","32"
"158","130551","22"
"159","81016","22"
"160","103346","29"
"161","87280","22"
"162","6795","8"
"163","52114","8"
"164","103545","8"
"165","35840","11"
"166","48011","33"
"167","34681","29"
"168","35323","17"
"169","60611","32"
"170","71106","32"
"171","107710","11"
"172","163015","33"
"173","30283","18"
"174","21109","18"
"175","150667","29"
"176","43509","24"
"177","41117","8"
"178","1207","33"
"179","61200","32"
"180","39703","22"
"182","102803","22"
"183","70748","11"
"184","69171","26"
"185","135911","22"
"186","68532","28"
"187","117663","22"
"188","55007","22"
"189","159198","33"
"190","24667","33"
"191","164607","22"
"192","68210","29"
"193","96485","8"
"194","129060","8"
"195","5111","26"
"196","12189","8"
"197","169889","33"
"198","121256","20"
"200","124343","29"
"201","65766","17"
"202","156597","24"
"203","126300","33"
"204","15988","24"
"205","130688","22"
"206","146190","24"
"207","133881","18"
"209","101775","28"
"210","25516","33"
"211","17763","24"
"212","22735","11"
"213","80608","32"
"214","152413","22"
"215","108754","33"
"216","165555","17"
"217","118069","22"
"218","54765","29"
"219","1189","20"
"221","52516","22"
"222","55159","26"
"223","57164","22"
"224","170445","22"
"225","17680","22"
"226","62584","29"
"227","79308","33"
"228","152728","20"
"229","156324","24"
"230","177943","32"
"231","46482","22"
"232","170495","17"
"233","171080","32"
"234","115938","17"
"235","97812","8"
"236","43245","17"
"237","99966","8"
"238","52001","22"
"239","38767","20"
"240","153660","8"
"241","9306","29"
"242","169884","29"
"243","39333","8"
"244","132725","22"
"245","86651","32"
"246","83887","32"
"247","149240","22"
"248","84051","24"
"249","109914","11"
"250","124311","29"
"251","4895","18"
"252","27923","24"
"253","41289","8"
"254","89374","32"
"255","17716","17"
"256","82515","33"
"257","51752","22"
"258","32171","32"
"259","29094","24"
"260","101021","11"
"261","161767","24"
"262","17654","22"
"263","167648","29"
"264","93877","22"
"265","120867","29"
