"","Index","membership_ch","user_id","user_language","top_topic","topic_prob"
"1",82,29,17513025,"English",1,0.534384837
"2",126,23,2894738123,"English",5,0.285494714
"3",848,34,7.12868e+17,"English",0,0.926923076
"4",1181,34,154744648,"English",0,0.980027704
"5",1426,36,1223649702,"English",0,0.44861369
"6",3379,26,7.51112e+17,"English",2,0.49598065
"7",3664,34,567342664,"English",2,0.538457579
"8",3665,28,1677025088,"English",0,0.05
"9",6001,36,3820227974,"English",2,0.679892547
"10",6298,34,126510283,"English",0,0.904999998
"11",7051,20,256838611,"English",1,0.287901654
"12",7639,36,2405170849,"English",1,0.491403041
"13",9114,22,474198630,"English",0,0.864285712
"14",9307,29,20980607,"English",0,0.901332521
"15",9561,34,97994335,"English",1,0.494018212
"16",9660,25,7.13669e+17,"English",0,0.614309995
"17",10733,33,16912792,"English",1,0.872804873
"18",10777,31,18965969,"English",0,0.598667594
"19",11504,33,553457746,"English",0,0.841666659
"20",11693,34,1611852882,"English",12,0.809999995
"21",11872,3,8.18677e+17,"English",0,0.05
"22",12149,31,8.18558e+17,"English",1,0.733730094
"23",12341,35,1726809984,"English",2,0.525
"24",13143,23,22571237,"English",0,0.841666663
"25",14195,25,2192689998,"English",0,0.983333333
"26",14197,31,8.21232e+17,"English",6,0.683333333
"27",14231,10,8.2187e+17,"English",0,0.05
"28",14574,34,7.93966e+17,"English",0,0.926923076
"29",14743,33,1963339982,"English",0,0.864285709
"30",15413,25,55046734,"English",17,0.683333331
"31",15607,34,233034285,"English",7,0.762499995
"32",17129,29,122999677,"English",0,0.588010803
"33",17418,22,375734257,"English",9,0.683333331
"34",19298,22,46815700,"English",1,0.479464228
"35",20681,34,296028807,"English",0,0.841666663
"36",21381,27,628859538,"English",0,0.499329779
"37",21418,29,76054448,"English",18,0.422298094
"38",21595,31,16034922,"English",0,0.798230117
"39",21647,25,7.31605e+17,"English",0,0.894444442
"40",22747,22,5561672,"English",0,0.894444443
"41",23464,25,2597237257,"English",0,0.864285712
"42",23886,20,55938970,"English",1,0.844361992
"43",24248,34,30051924,"English",1,0.881249996
"44",24449,34,2788221918,"English",2,0.683333327
"45",24481,22,397460190,"English",4,0.809999996
"46",24594,27,1692871328,"English",0,0.555250436
"47",24739,34,2805904682,"English",0,0.904999998
"48",24818,34,261018278,"English",1,0.614471402
"49",25377,20,159726376,"English",14,0.524999996
"50",25509,33,2236949270,"English",0,0.841666665
"51",25795,34,7.58848e+17,"English",13,0.683333327
"52",25932,20,7.68553e+17,"English",0,0.841666664
"53",26113,20,1637087510,"English",0,0.864285711
"54",26162,34,276534653,"English",0,0.644746129
"55",26758,34,2291911476,"English",0,0.881249996
"56",27586,33,796521403,"English",1,0.486584493
