X,Index,membership_la,user_id,user_language,top_topic,topic_prob
1,1,1706,1,English,0,0.515667971
2,2,1110,2,English,0,0.4313981
3,3,286,3,English,3,0.599608251
4,4,1706,4,English,0,0.747679256
5,5,1706,5,English,2,0.77835688
6,6,1110,6,English,3,0.534187752
7,7,1037,7,English,3,0.787740486
8,8,1467,8,English,0,0.358141848
9,9,1467,9,English,1,0.637954865
10,10,1110,10,English,0,0.790353248
11,11,286,11,English,5,0.487233911
12,12,1110,12,English,0,0.999992601
13,13,1037,13,English,0,0.627998726
14,14,1241,14,English,6,0.337156237
15,15,1110,15,English,0,0.622182491
16,16,1110,16,English,2,0.41818416
17,17,1037,17,English,6,0.529373196
18,18,1110,18,English,12,0.241859355
19,19,1110,19,English,2,0.612504652
20,20,1110,20,English,3,0.266931935
21,21,1110,21,English,2,0.708112101
22,22,324,22,English,5,0.537674026
23,23,1110,23,English,0,0.531340515
24,24,1110,24,English,1,0.749957449
25,25,1037,25,English,7,0.295945113
26,26,1037,26,English,2,0.616569562
27,27,1467,27,English,0,0.417408806
28,28,1241,28,English,3,0.540079221
29,29,1110,29,English,5,0.3976285
30,30,1110,30,English,7,0.513222423
31,31,286,31,English,2,0.745737088
32,32,1467,32,English,2,0.556184387
33,33,1037,33,English,5,0.53258504
34,34,1110,34,English,0,0.603069585
35,35,324,35,English,10,0.259640243
36,36,1706,36,English,0,0.390050535
37,37,1467,37,English,12,0.201557902
38,38,1110,38,English,7,0.544411804
39,39,1037,39,English,2,0.89812656
40,40,1706,40,English,0,0.795434888
41,41,1110,41,English,3,0.449869975
42,42,1110,42,English,3,0.463284254
43,43,1110,43,English,0,0.598515766
44,44,1241,44,English,9,0.504333511
45,45,286,45,English,3,0.583653736
46,46,892,46,English,1,0.533206909
47,47,1110,47,English,1,0.672314578
48,48,1467,48,English,0,0.601823147
49,50,1110,49,English,8,0.45233187
50,51,1467,50,English,0,0.515042636
51,52,1037,51,English,2,0.400401645
52,53,1706,52,English,6,0.349689322
53,54,1706,53,English,1,0.473530657
54,55,1110,54,English,0,0.511260754
55,56,1241,55,English,0,0.660232756
56,57,892,56,English,3,0.449775154
57,58,286,57,English,0,0.938172008
58,59,18,58,English,0,0.452935416
59,60,1037,59,English,1,0.855814925
60,61,286,60,English,0,0.449660118
61,62,1110,61,English,2,0.550687721
62,63,1110,62,English,1,0.607805883
63,66,324,63,English,0,0.494545961
64,67,892,64,English,0,0.999238782
65,68,1110,65,English,5,0.408789277
66,69,1110,66,English,3,0.516359587
67,70,1110,67,English,1,0.853187201
68,71,1037,68,English,4,0.712690529
69,72,1110,69,English,8,0.421145461
70,73,1037,70,English,0,0.9058731
71,74,1110,71,English,3,0.583552683
72,75,1110,72,English,2,0.777985959
73,76,1037,73,English,1,0.480263486
74,77,324,74,English,1,0.62346867
75,78,1037,75,English,2,0.224008924
76,79,1110,76,English,3,0.658143822
77,80,1110,77,English,0,0.837837381
78,81,1241,78,English,5,0.514850408
79,82,1110,79,English,2,0.701093217
80,83,1110,80,English,0,0.998279295
81,84,1110,81,English,0,0.729449102
82,85,1110,82,English,0,0.321584565
83,86,1037,83,English,0,0.473574777
84,87,1241,84,English,0,0.651586362
85,88,1110,85,English,0,0.93757764
86,89,892,86,English,4,0.444063163
87,90,1110,87,English,1,0.678453936
88,91,324,88,English,0,0.52499999
