"","Index","user_id","user_language","top_topic","topic_prob","sub_membership_ch"
"1",848,7.12868e+17,"English",0,0.926923076,"2"
"2",1181,154744648,"English",0,0.980027704,"5"
"3",3664,567342664,"English",2,0.538457579,"5"
"4",6298,126510283,"English",0,0.904999998,"3"
"5",9561,97994335,"English",1,0.494018212,"2"
"6",11693,1611852882,"English",12,0.809999995,"2"
"7",14574,7.93966e+17,"English",0,0.926923076,"5"
"8",15607,233034285,"English",7,0.762499995,"7"
"9",20681,296028807,"English",0,0.841666663,"2"
"10",24248,30051924,"English",1,0.881249996,"2"
"11",24449,2788221918,"English",2,0.683333327,"1"
"12",24739,2805904682,"English",0,0.904999998,"6"
"13",24818,261018278,"English",1,0.614471402,"8"
"14",25795,7.58848e+17,"English",13,0.683333327,"1"
"15",26162,276534653,"English",0,0.644746129,"3"
"16",26758,2291911476,"English",0,0.881249996,"4"
"17",28572,3349830135,"English",0,0.704206965,"5"
"18",29255,487695259,"English",1,0.671802337,"3"
"19",29416,396193198,"English",0,0.993124522,"5"
"20",29549,369767936,"English",1,0.495932811,"2"
"21",30484,337411094,"English",1,0.858368799,"4"
"22",31704,982984382,"English",2,0.368703638,"3"
"23",33317,325780777,"English",0,0.780138363,"3"
"24",33447,377472234,"English",0,0.754029345,"7"
"25",33511,51133371,"English",0,0.879632749,"3"
"26",33964,609515628,"English",0,0.712791241,"4"
"27",34244,2505239831,"English",0,0.804228654,"2"
"28",34434,1108009208,"English",3,0.505307555,"3"
"29",35174,564204064,"English",0,0.894444442,"2"
"30",35221,1097110657,"English",0,0.601411609,"8"
"31",35966,2421443628,"English",0,0.920833331,"6"
"32",39034,606891869,"English",0,0.718545625,"5"
"33",40596,61349908,"English",0,0.999211618,"5"
"34",40670,1625875550,"English",0,0.820804698,"8"
"35",40839,857377124,"English",8,0.683333327,"2"
"36",41978,17069459,"English",0,0.631918313,"8"
"37",42459,632646695,"English",0,0.920833331,"3"
"38",44866,1058777084,"English",1,0.683333325,"5"
"39",45781,59316270,"English",1,0.838574909,"7"
"40",45948,2903098042,"English",1,0.630605835,"3"
"41",47547,438772647,"English",0,0.911752204,"8"
"42",47825,374321016,"English",1,0.809159585,"5"
"43",49748,1336685652,"English",1,0.528087105,"4"
"44",49795,426325705,"English",0,0.500771276,"2"
"45",50587,150330403,"English",0,0.57345201,"5"
"46",51488,598912552,"English",1,0.84952843,"8"
"47",54374,1434122712,"English",0,0.986619718,"2"
"48",54655,1062425317,"English",0,0.762124807,"5"
"49",56450,2733795358,"English",1,0.712311263,"3"
"50",58291,233740536,"English",2,0.663576417,"8"
"51",59419,224852335,"English",0,0.770125078,"5"
"52",60615,181743519,"English",0,0.89444444,"2"
"53",60696,53132753,"English",0,0.626335133,"4"
"54",61230,2441668932,"English",0,0.878319897,"4"
"55",61459,569524391,"English",1,0.882047228,"2"
"56",63036,887163673,"English",3,0.324625013,"2"
"57",66669,291917202,"English",0,0.554161844,"5"
"58",70052,741197221,"English",0,0.892789899,"8"
"59",71039,36792946,"English",1,0.524999994,"5"
"60",75475,167283184,"English",4,0.809999996,"2"
"61",77918,398186674,"English",0,0.904999998,"5"
"62",80288,2708236351,"English",1,0.809999998,"5"
"63",81303,443270519,"English",1,0.443012866,"8"
