,Index,user_id,user_language,top_topic,topic_prob,sub_membership_la
1,50,24726449,English,8,0.45233187,9
2,4926,1038421944,English,0,0.563063484,9
3,5746,2852522245,English,1,0.547272207,13
4,6002,4732018646,English,6,0.476006068,6
5,10849,2816195994,English,1,0.413566371,13
6,11120,2936849186,English,1,0.603194052,4
7,14053,27038939,English,0,0.920833332,6
8,15215,2391521395,English,0,0.723773626,6
9,15632,42360632,English,5,0.682559343,6
10,16046,2740769106,English,2,0.729610208,17
11,16648,251837889,English,7,0.357215573,6
12,17128,963737816,English,6,0.507199601,4
13,17654,3158506819,English,1,0.900754378,17
14,17680,159499936,English,4,0.579581628,13
15,19603,33278378,English,0,0.84396552,9
16,20401,140574846,English,7,0.487295271,17
17,21627,17583794,English,7,0.259214397,4
18,26369,2759070735,English,0,0.879052788,15
19,27985,215435719,English,5,0.537757679,6
20,30063,368129622,English,0,0.481541273,4
21,30177,1726420304,English,0,0.829933061,9
22,34846,28371558,English,1,0.62157128,4
23,36250,3689558712,English,1,0.822390517,13
24,39703,60744539,English,1,0.868747161,9
25,41968,2402531184,English,0,0.944117646,13
26,42732,93679424,English,1,0.660003338,13
27,43578,865904827,English,1,0.57397986,4
28,45234,2465315905,English,3,0.606177846,9
29,45736,27725400,English,8,0.206588621,6
30,46482,257730653,English,6,0.262369427,4
31,47573,57048187,English,0,0.629253558,9
32,50224,745888986,English,1,0.439599337,13
33,51476,419330180,English,0,0.890822482,9
34,51752,264034087,English,1,0.54166765,9
35,52001,2947544762,English,0,0.762499997,9
36,52516,1084848158,English,3,0.59272094,6
37,54244,30714850,English,0,0.487511389,4
38,55007,602372756,English,1,0.570482149,9
39,55741,35403867,English,1,0.495985579,9
40,57164,1199207352,English,4,0.651486153,17
41,57758,383567110,English,0,0.757064154,4
42,60388,7779722,English,1,0.572228306,4
43,62117,4520654915,English,0,0.593648615,13
44,64944,1217164681,English,1,0.59086485,6
45,67501,7.71722E+17,English,0,0.841666664,17
46,69057,28910785,English,2,0.563134653,6
47,70396,971473622,English,4,0.762499995,9
48,75759,110815442,English,1,0.829173271,9
49,75805,2187935852,English,0,0.516423768,16
50,76081,432592175,English,0,0.683333327,13
51,76317,852218184,English,0,0.693809829,16
52,79777,15596278,English,3,0.390769394,12
53,81016,467871151,English,1,0.557237907,4
54,83477,1429378328,English,0,0.842321856,17
55,83480,7.15749E+17,English,5,0.338383209,6
56,84300,125878109,English,0,0.643726793,15
57,86984,3045341112,English,2,0.446751519,12
58,87280,3072334164,English,1,0.736095927,6
59,88040,1090976810,English,0,0.773640009,6
60,92102,829061425,English,0,0.913636361,13
61,93322,301174836,English,6,0.44703288,6
62,93793,325967587,English,0,0.546437372,17
63,93877,2690846299,English,0,0.991121495,9
64,95450,27628945,English,0,0.993493151,13
65,96066,2594510156,English,0,0.723621102,4
66,96178,2753825358,English,3,0.43269009,6
67,98130,436914178,English,0,0.613882595,16
68,98153,411233880,English,0,0.05,9
69,99154,35344015,English,0,0.944117646,16
70,100630,1045816170,English,3,0.400322538,17
71,101085,3256984159,English,0,0.978888889,6
72,102803,12090282,English,0,0.974999999,9
73,102926,3087391474,English,1,0.542762908,15
74,104476,601477348,English,0,0.667116813,9
75,107134,7.99125E+17,English,0,0.956818181,17
76,109429,772514904,English,0,0.944117646,17
77,109717,43743671,English,2,0.710814114,15
78,110340,374802528,English,0,0.867117155,16
79,113447,7.26476E+17,English,0,0.864285712,16
80,117195,59856676,English,2,0.362141507,15
81,117663,1909816800,English,0,0.961999999,13
82,118069,4198151654,English,1,0.867342416,16
83,118658,230925945,English,4,0.571866599,17
84,120319,14992263,English,1,0.88237611,6
85,122255,26917290,English,1,0.978888888,9
86,127998,2990816679,English,0,0.694355932,13
87,129401,460657107,English,0,0.909858813,15
88,130155,2565926318,English,0,0.967241379,9
89,130551,21106819,English,0,0.693790607,9
90,130688,1395390884,English,1,0.345227305,17
91,131679,36790399,English,0,0.524999995,4
92,131906,790663975,English,1,0.517311083,16
93,132725,2925186415,English,0,0.913636362,4
94,132864,804125228,English,0,0.947222221,13
95,132889,2954054510,English,0,0.871570779,9
96,132912,220452039,English,1,0.729563651,13
97,134078,8.05517E+17,English,0,0.988271605,13
98,135911,2966392989,English,0,0.987662337,13
99,136951,22120626,English,0,0.535585643,12
100,138338,345082702,English,0,0.536430049,13
101,138462,1258027088,English,0,0.926923075,13
102,141444,2314760570,English,0,0.447583868,12
103,142752,4181680457,English,0,0.944117646,13
104,143166,2913140042,English,1,0.773999332,17
105,143210,103191938,English,3,0.535906396,9
106,145643,621298492,English,3,0.893494412,15
107,146697,2526568406,English,0,0.593639463,15
108,147756,175921402,English,0,0.954761903,6
109,147828,2557547432,English,18,0.809999991,17
110,147892,2803108491,English,2,0.780033263,13
111,148106,1242270073,English,0,0.986619718,9
112,149240,2782689215,English,2,0.558008155,9
113,150814,1036304371,English,0,0.99520202,9
114,152413,2249690053,English,0,0.913636362,12
115,154139,3094679364,English,0,0.949999999,4
116,157331,33749459,English,3,0.66613421,16
117,157413,1122862622,English,2,0.31241896,6
118,159244,1654317709,English,1,0.658783604,4
119,163198,7.67111E+17,English,0,0.878961196,12
120,164190,3221933162,English,3,0.832134364,17
121,165779,4399265543,English,1,0.39262382,15
122,167724,354010438,English,1,0.689477212,12
123,169633,3406286535,English,2,0.38543685,16
124,170445,4746681895,English,0,0.576439249,17
125,171346,1537979221,English,5,0.575452614,9
126,174432,2664638198,English,0,0.988271605,16
127,174445,7.72306E+17,English,0,0.944117646,17
128,174539,947007140,English,1,0.344141426,17
129,177665,240634563,English,1,0.786396748,6
130,177772,1628591984,English,1,0.641582707,15
131,178448,7.90722E+17,English,0,0.566073958,17
132,179271,3395983323,English,0,0.659161356,6
133,179342,135027427,English,1,0.558112044,6
134,179768,57931880,English,0,0.956818181,13
135,180133,909088525,English,0,0.553002686,16
