"","Source","Target","Weight","Type","Modularity Class"
"1","10","12","894","Undirected","267"
"2","10","110","378","Undirected","267"
"3","10","116","308","Undirected","267"
"4","10","130","289","Undirected","267"
"5","10","261","218","Undirected","267"
"6","10","262","577","Undirected","267"
"7","10","264","577","Undirected","267"
"8","10","283","292","Undirected","267"
"9","10","284","447","Undirected","267"
"10","10","315","447","Undirected","267"
"11","10","348","54","Undirected","267"
"12","10","402","707","Undirected","267"
"13","10","404","378","Undirected","267"
"14","10","423","136","Undirected","267"
"15","100","101","487","Undirected","84"
"16","100","102","1000","Undirected","84"
"17","100","111","811","Undirected","84"
"18","100","122","302","Undirected","84"
"19","100","133","845","Undirected","84"
"20","100","154","1000","Undirected","84"
"21","100","195","1000","Undirected","84"
"22","100","213","447","Undirected","84"
"23","100","234","1000","Undirected","84"
"24","100","333","177","Undirected","84"
"25","100","344","1000","Undirected","84"
"26","100","348","54","Undirected","84"
"27","100","357","707","Undirected","84"
"28","100","398","577","Undirected","84"
"29","100","406","594","Undirected","84"
"30","100","423","953","Undirected","84"
"31","100","425","1000","Undirected","84"
"32","101","102","487","Undirected","84"
"33","101","109","324","Undirected","84"
"34","101","110","61","Undirected","84"
"35","101","111","605","Undirected","84"
"36","101","112","649","Undirected","84"
"37","101","116","200","Undirected","84"
"38","101","120","162","Undirected","84"
"39","101","122","293","Undirected","84"
"40","101","123","324","Undirected","84"
"41","101","124","94","Undirected","84"
"42","101","125","649","Undirected","84"
"43","101","130","140","Undirected","84"
"44","101","133","768","Undirected","84"
"45","101","136","132","Undirected","84"
"46","101","154","487","Undirected","84"
"47","101","161","256","Undirected","84"
"48","101","165","324","Undirected","84"
"49","101","175","229","Undirected","84"
"50","101","178","324","Undirected","84"
"51","101","181","132","Undirected","84"
"52","101","184","649","Undirected","84"
"53","101","195","487","Undirected","84"
"54","101","202","162","Undirected","84"
"55","101","209","162","Undirected","84"
"56","101","213","798","Undirected","84"
"57","101","223","450","Undirected","84"
"58","101","226","162","Undirected","84"
"59","101","227","162","Undirected","84"
"60","101","232","324","Undirected","84"
"61","101","234","487","Undirected","84"
"62","101","247","270","Undirected","84"
"63","101","253","218","Undirected","84"
"64","101","257","162","Undirected","84"
"65","101","259","115","Undirected","84"
"66","101","261","248","Undirected","84"
"67","101","262","94","Undirected","84"
"68","101","274","61","Undirected","84"
"69","101","277","187","Undirected","84"
"70","101","283","260","Undirected","84"
"71","101","296","162","Undirected","84"
"72","101","313","218","Undirected","84"
"73","101","315","290","Undirected","84"
"74","101","333","315","Undirected","84"
"75","101","336","649","Undirected","84"
"76","101","344","487","Undirected","84"
"77","101","348","371","Undirected","84"
"78","101","357","803","Undirected","84"
"79","101","379","115","Undirected","84"
"80","101","382","162","Undirected","84"
"81","101","388","45","Undirected","84"
"82","101","391","199","Undirected","84"
"83","101","396","162","Undirected","84"
"84","101","398","749","Undirected","84"
"85","101","402","115","Undirected","84"
"86","101","404","123","Undirected","84"
"87","101","406","353","Undirected","84"
"88","101","421","649","Undirected","84"
"89","101","423","552","Undirected","84"
"90","101","425","487","Undirected","84"
"91","101","433","162","Undirected","84"
"92","101","442","162","Undirected","84"
"93","101","448","324","Undirected","84"
"94","101","458","173","Undirected","84"
"95","101","460","162","Undirected","84"
"96","101","469","162","Undirected","84"
"97","101","475","649","Undirected","84"
"98","101","482","459","Undirected","84"
"99","101","494","344","Undirected","84"
"100","101","498","162","Undirected","84"
"101","102","111","811","Undirected","84"
"102","102","122","302","Undirected","84"
"103","102","133","845","Undirected","84"
"104","102","154","1000","Undirected","84"
"105","102","195","1000","Undirected","84"
"106","102","213","447","Undirected","84"
"107","102","234","1000","Undirected","84"
"108","102","333","177","Undirected","84"
"109","102","344","1000","Undirected","84"
"110","102","348","54","Undirected","84"
"111","102","357","707","Undirected","84"
"112","102","398","577","Undirected","84"
"113","102","406","594","Undirected","84"
"114","102","423","953","Undirected","84"
"115","102","425","1000","Undirected","84"
"116","107","116","272","Undirected","267"
"117","107","161","447","Undirected","267"
"118","107","219","707","Undirected","267"
"119","107","247","236","Undirected","267"
"120","107","261","309","Undirected","267"
"121","107","264","408","Undirected","267"
"122","107","274","267","Undirected","267"
"123","107","291","707","Undirected","267"
"124","107","293","707","Undirected","267"
"125","107","306","707","Undirected","267"
"126","107","315","316","Undirected","267"
"127","107","333","375","Undirected","267"
"128","107","348","346","Undirected","267"
"129","107","360","333","Undirected","267"
"130","107","400","707","Undirected","267"
"131","107","431","500","Undirected","267"
"132","109","161","316","Undirected","267"
"133","109","181","408","Undirected","267"
"134","109","223","277","Undirected","267"
"135","109","232","1000","Undirected","267"
"136","109","261","218","Undirected","267"
"137","109","348","272","Undirected","267"
"138","109","448","1000","Undirected","267"
"139","109","494","707","Undirected","267"
"140","110","115","239","Undirected","47"
"141","110","116","494","Undirected","47"
"142","110","130","109","Undirected","47"
