"","Source","Target","Weight","Type","Modularity Class"
"1","1","2","12","Undirected","2"
"2","1","3","59","Undirected","2"
"3","1","18","59","Undirected","2"
"4","1","19","42","Undirected","2"
"5","1","21","52","Undirected","2"
"6","1","24","26","Undirected","2"
"7","1","26","20","Undirected","2"
"8","1","27","56","Undirected","2"
"9","1","28","10","Undirected","2"
"10","1","33","68","Undirected","2"
"11","1","36","84","Undirected","2"
"12","1","40","16","Undirected","2"
"13","1","42","24","Undirected","2"
"14","1","45","31","Undirected","2"
"15","1","55","46","Undirected","2"
"16","1","56","13","Undirected","2"
"17","1","71","171","Undirected","2"
"18","1","78","14","Undirected","2"
"19","1","82","53","Undirected","2"
"20","1","94","71","Undirected","2"
"21","1","101","17","Undirected","2"
"22","1","104","32","Undirected","2"
"23","1","110","22","Undirected","2"
"24","1","111","15","Undirected","2"
"25","10","18","36","Undirected","2"
"26","10","19","20","Undirected","2"
"27","10","20","96","Undirected","2"
"28","10","22","38","Undirected","2"
"29","10","25","23","Undirected","2"
"30","10","27","157","Undirected","2"
"31","10","28","43","Undirected","2"
"32","10","33","29","Undirected","2"
"33","10","42","34","Undirected","2"
"34","10","43","111","Undirected","2"
"35","10","44","252","Undirected","2"
"36","10","45","11","Undirected","2"
"37","10","52","211","Undirected","2"
"38","10","55","32","Undirected","2"
"39","10","56","76","Undirected","2"
"40","10","60","500","Undirected","2"
"41","10","68","126","Undirected","2"
"42","10","70","81","Undirected","2"
"43","10","76","192","Undirected","2"
"44","10","78","20","Undirected","2"
"45","10","82","75","Undirected","2"
"46","10","85","34","Undirected","2"
"47","10","93","37","Undirected","2"
"48","10","99","192","Undirected","2"
"49","10","101","6","Undirected","2"
"50","10","111","15","Undirected","2"
"51","100","101","59","Undirected","3"
"52","100","103","79","Undirected","3"
"53","101","102","90","Undirected","5"
"54","101","103","42","Undirected","5"
"55","101","104","59","Undirected","5"
"56","101","105","6","Undirected","5"
"57","101","106","61","Undirected","5"
"58","101","109","21","Undirected","5"
"59","101","110","63","Undirected","5"
"60","101","111","113","Undirected","5"
"61","101","112","31","Undirected","5"
"62","101","113","20","Undirected","5"
"63","101","114","44","Undirected","5"
"64","101","116","24","Undirected","5"
"65","101","117","18","Undirected","5"
"66","101","118","33","Undirected","5"
