"","Source","Target","Weight","Type","Modularity Class"
"1","1","2","30","Undirected","9"
"2","1","3","61","Undirected","9"
"3","1","4","11","Undirected","9"
"4","1","5","55","Undirected","9"
"5","1","6","29","Undirected","9"
"6","1","7","33","Undirected","9"
"7","1","9","20","Undirected","9"
"8","1","11","62","Undirected","9"
"9","1","12","74","Undirected","9"
"10","1","13","42","Undirected","9"
"11","1","14","15","Undirected","9"
"12","1","16","39","Undirected","9"
"13","1","18","12","Undirected","9"
"14","1","20","17","Undirected","9"
"15","1","23","37","Undirected","9"
"16","1","26","18","Undirected","9"
"17","1","28","141","Undirected","9"
"18","1","29","183","Undirected","9"
"19","1","30","102","Undirected","9"
"20","1","31","30","Undirected","9"
"21","1","32","108","Undirected","9"
"22","1","33","105","Undirected","9"
"23","1","35","120","Undirected","9"
"24","1","36","67","Undirected","9"
"25","1","37","144","Undirected","9"
"26","1","38","141","Undirected","9"
"27","1","39","67","Undirected","9"
"28","1","40","45","Undirected","9"
"29","1","41","8","Undirected","9"
"30","1","42","70","Undirected","9"
"31","1","43","94","Undirected","9"
"32","1","44","16","Undirected","9"
"33","1","46","10","Undirected","9"
"34","1","47","13","Undirected","9"
"35","1","48","8","Undirected","9"
"36","1","49","16","Undirected","9"
"37","1","50","16","Undirected","9"
"38","1","51","53","Undirected","9"
"39","1","52","65","Undirected","9"
"40","1","54","45","Undirected","9"
"41","1","56","29","Undirected","9"
"42","1","59","45","Undirected","9"
"43","1","60","58","Undirected","9"
"44","1","61","33","Undirected","9"
"45","1","62","35","Undirected","9"
"46","1","63","16","Undirected","9"
"47","1","64","40","Undirected","9"
"48","1","65","100","Undirected","9"
"49","1","66","33","Undirected","9"
"50","1","67","15","Undirected","9"
"51","1","68","76","Undirected","9"
"52","1","69","118","Undirected","9"
"53","1","71","76","Undirected","9"
"54","1","72","38","Undirected","9"
"55","1","73","67","Undirected","9"
"56","1","74","48","Undirected","9"
"57","1","75","33","Undirected","9"
"58","1","76","94","Undirected","9"
"59","1","77","109","Undirected","9"
"60","1","79","85","Undirected","9"
"61","1","80","16","Undirected","9"
"62","1","82","34","Undirected","9"
"63","1","83","44","Undirected","9"
"64","1","84","44","Undirected","9"
"65","1","86","27","Undirected","9"
"66","1","87","58","Undirected","9"
"67","1","88","37","Undirected","9"
"68","1","89","26","Undirected","9"
"69","1","90","42","Undirected","9"
"70","1","91","30","Undirected","9"
"71","1","92","54","Undirected","9"
"72","1","95","68","Undirected","9"
"73","1","96","109","Undirected","9"
"74","1","97","14","Undirected","9"
"75","1","98","8","Undirected","9"
"76","1","99","64","Undirected","9"
"77","1","100","13","Undirected","9"
"78","1","101","57","Undirected","9"
"79","1","102","30","Undirected","9"
"80","1","104","8","Undirected","9"
"81","1","105","33","Undirected","9"
"82","1","106","15","Undirected","9"
"83","1","107","11","Undirected","9"
"84","1","112","26","Undirected","9"
"85","1","113","14","Undirected","9"
"86","1","114","9","Undirected","9"
"87","1","117","34","Undirected","9"
"88","1","118","26","Undirected","9"
"89","1","120","15","Undirected","9"
"90","1","122","58","Undirected","9"
"91","1","125","74","Undirected","9"
"92","1","128","18","Undirected","9"
"93","1","129","12","Undirected","9"
"94","1","133","21","Undirected","9"
"95","1","134","20","Undirected","9"
"96","1","135","37","Undirected","9"
"97","1","136","98","Undirected","9"
"98","1","137","16","Undirected","9"
"99","1","138","52","Undirected","9"
"100","1","140","13","Undirected","9"
"101","1","141","60","Undirected","9"
"102","1","144","22","Undirected","9"
"103","1","145","22","Undirected","9"
"104","1","147","82","Undirected","9"
"105","10","51","76","Undirected","17"
"106","10","59","122","Undirected","17"
"107","10","69","22","Undirected","17"
"108","10","139","354","Undirected","17"
"109","100","141","28","Undirected","4"
"110","101","104","24","Undirected","13"
"111","101","106","45","Undirected","13"
"112","101","112","78","Undirected","13"
"113","101","120","45","Undirected","13"
"114","101","123","27","Undirected","13"
"115","101","125","17","Undirected","13"
"116","101","132","37","Undirected","13"
"117","101","145","43","Undirected","13"
"118","101","147","35","Undirected","13"
"119","103","104","98","Undirected","13"
"120","104","107","132","Undirected","13"
"121","104","113","82","Undirected","13"
"122","104","140","77","Undirected","13"
"123","104","147","35","Undirected","13"
"124","106","128","204","Undirected","12"
"125","107","123","73","Undirected","13"
"126","107","147","24","Undirected","13"
"127","11","12","4","Undirected","6"
"128","11","19","13","Undirected","6"
"129","11","20","16","Undirected","6"
"130","11","28","24","Undirected","6"
"131","11","29","17","Undirected","6"
"132","11","30","16","Undirected","6"
"133","11","31","51","Undirected","6"
"134","11","32","14","Undirected","6"
"135","11","33","15","Undirected","6"
"136","11","35","17","Undirected","6"
"137","11","36","4","Undirected","6"
"138","11","37","15","Undirected","6"
"139","11","38","43","Undirected","6"
"140","11","39","7","Undirected","6"
"141","11","41","29","Undirected","6"
"142","11","44","5","Undirected","6"
"143","11","52","17","Undirected","6"
"144","11","56","11","Undirected","6"
"145","11","60","9","Undirected","6"
"146","11","65","6","Undirected","6"
