"","Source","Target","Weight","Type","Modularity Class"
"1","1","2","48","Undirected","25"
"2","1","15","22","Undirected","25"
"3","1","23","12","Undirected","25"
"4","1","43","78","Undirected","25"
"5","1","53","66","Undirected","25"
"6","1","64","29","Undirected","25"
"7","1","71","5","Undirected","25"
"8","1","87","10","Undirected","25"
"9","1","88","38","Undirected","25"
"10","1","94","26","Undirected","25"
"11","1","104","41","Undirected","25"
"12","1","128","41","Undirected","25"
"13","1","140","10","Undirected","25"
"14","1","141","20","Undirected","25"
"15","1","183","76","Undirected","25"
"16","1","193","24","Undirected","25"
"17","1","195","27","Undirected","25"
"18","1","219","27","Undirected","25"
"19","1","265","138","Undirected","25"
"20","1","274","38","Undirected","25"
"21","1","278","24","Undirected","25"
"22","1","294","52","Undirected","25"
"23","1","307","59","Undirected","25"
"24","1","313","3","Undirected","25"
"25","1","315","13","Undirected","25"
"26","1","322","52","Undirected","25"
"27","1","358","27","Undirected","25"
"28","1","389","14","Undirected","25"
"29","1","405","14","Undirected","25"
"30","1","423","44","Undirected","25"
"31","1","424","17","Undirected","25"
"32","1","426","6","Undirected","25"
"33","1","442","17","Undirected","25"
"34","1","447","66","Undirected","25"
"35","1","472","30","Undirected","25"
"36","10","12","20","Undirected","25"
"37","10","58","39","Undirected","25"
"38","10","89","43","Undirected","25"
"39","10","96","40","Undirected","25"
"40","10","117","29","Undirected","25"
"41","10","121","13","Undirected","25"
"42","10","124","128","Undirected","25"
"43","10","140","6","Undirected","25"
"44","10","165","130","Undirected","25"
"45","10","167","56","Undirected","25"
"46","10","196","35","Undirected","25"
"47","10","213","7","Undirected","25"
"48","10","214","49","Undirected","25"
"49","10","221","16","Undirected","25"
"50","10","290","61","Undirected","25"
"51","10","307","34","Undirected","25"
"52","10","313","7","Undirected","25"
"53","10","315","39","Undirected","25"
"54","10","319","48","Undirected","25"
"55","10","322","15","Undirected","25"
"56","10","327","24","Undirected","25"
"57","10","331","72","Undirected","25"
"58","10","338","41","Undirected","25"
"59","10","342","33","Undirected","25"
"60","10","358","12","Undirected","25"
"61","10","381","27","Undirected","25"
"62","10","389","27","Undirected","25"
"63","10","405","16","Undirected","25"
"64","10","407","31","Undirected","25"
"65","10","426","4","Undirected","25"
"66","10","432","15","Undirected","25"
"67","10","446","96","Undirected","25"
"68","10","447","14","Undirected","25"
"69","10","450","22","Undirected","25"
"70","10","457","24","Undirected","25"
"71","10","460","36","Undirected","25"
"72","10","469","60","Undirected","25"
"73","10","476","14","Undirected","25"
"74","100","102","5","Undirected","19"
"75","100","104","24","Undirected","19"
"76","100","117","13","Undirected","19"
"77","100","118","38","Undirected","19"
"78","100","120","52","Undirected","19"
"79","100","121","12","Undirected","19"
"80","100","128","48","Undirected","19"
"81","100","140","23","Undirected","19"
"82","100","141","23","Undirected","19"
"83","100","156","28","Undirected","19"
"84","100","165","47","Undirected","19"
"85","100","166","48","Undirected","19"
"86","100","173","83","Undirected","19"
"87","100","193","14","Undirected","19"
"88","100","195","16","Undirected","19"
"89","100","199","81","Undirected","19"
"90","100","214","89","Undirected","19"
"91","100","219","31","Undirected","19"
"92","100","221","8","Undirected","19"
"93","100","228","52","Undirected","19"
"94","100","236","85","Undirected","19"
"95","100","239","60","Undirected","19"
"96","100","251","23","Undirected","19"
"97","100","262","48","Undirected","19"
"98","100","264","71","Undirected","19"
"99","100","271","40","Undirected","19"
"100","100","280","65","Undirected","19"
"101","100","292","56","Undirected","19"
"102","100","293","29","Undirected","19"
"103","100","294","23","Undirected","19"
"104","100","307","14","Undirected","19"
"105","100","310","9","Undirected","19"
"106","100","311","7","Undirected","19"
"107","100","313","18","Undirected","19"
"108","100","315","8","Undirected","19"
"109","100","319","11","Undirected","19"
"110","100","322","7","Undirected","19"
"111","100","327","22","Undirected","19"
"112","100","338","18","Undirected","19"
"113","100","342","7","Undirected","19"
"114","100","346","50","Undirected","19"
"115","100","358","21","Undirected","19"
"116","100","381","6","Undirected","19"
"117","100","386","67","Undirected","19"
"118","100","393","22","Undirected","19"
"119","100","396","22","Undirected","19"
"120","100","399","37","Undirected","19"
"121","100","405","45","Undirected","19"
"122","100","406","38","Undirected","19"
"123","100","407","71","Undirected","19"
"124","100","413","55","Undirected","19"
"125","100","423","26","Undirected","19"
"126","100","424","20","Undirected","19"
"127","100","432","33","Undirected","19"
"128","100","441","41","Undirected","19"
"129","100","442","39","Undirected","19"
"130","100","446","43","Undirected","19"
"131","100","447","6","Undirected","19"
"132","100","450","50","Undirected","19"
"133","100","465","65","Undirected","19"
"134","100","478","46","Undirected","19"
"135","100","479","57","Undirected","19"
"136","100","496","37","Undirected","19"
"137","101","136","70","Undirected","18"
"138","101","147","57","Undirected","18"
"139","101","157","46","Undirected","18"
"140","101","173","45","Undirected","18"
"141","101","175","88","Undirected","18"
"142","101","213","39","Undirected","18"
"143","101","221","10","Undirected","18"
"144","101","256","298","Undirected","18"
"145","101","264","77","Undirected","18"
"146","101","266","63","Undirected","18"
"147","101","270","22","Undirected","18"
"148","101","279","236","Undirected","18"
"149","101","280","140","Undirected","18"
"150","101","315","11","Undirected","18"
"151","101","319","24","Undirected","18"
"152","101","321","38","Undirected","18"
"153","101","338","53","Undirected","18"
"154","101","378","40","Undirected","18"
"155","101","380","34","Undirected","18"
"156","101","381","13","Undirected","18"
"157","101","389","35","Undirected","18"
"158","101","403","136","Undirected","18"
"159","101","405","40","Undirected","18"
"160","101","413","47","Undirected","18"
"161","101","415","149","Undirected","18"
"162","101","421","27","Undirected","18"
"163","101","423","111","Undirected","18"
"164","101","442","64","Undirected","18"
"165","101","445","54","Undirected","18"
"166","101","459","44","Undirected","18"
"167","101","465","35","Undirected","18"
"168","102","108","16","Undirected","30"
"169","102","117","15","Undirected","30"
"170","102","121","5","Undirected","30"
"171","102","124","22","Undirected","30"
"172","102","130","16","Undirected","30"
"173","102","135","78","Undirected","30"
"174","102","139","14","Undirected","30"
"175","102","140","2","Undirected","30"
"176","102","148","27","Undirected","30"
"177","102","149","72","Undirected","30"
"178","102","152","10","Undirected","30"
"179","102","153","26","Undirected","30"
"180","102","154","14","Undirected","30"
"181","102","155","14","Undirected","30"
"182","102","157","6","Undirected","30"
"183","102","160","5","Undirected","30"
"184","102","166","26","Undirected","30"
"185","102","173","12","Undirected","30"
"186","102","175","6","Undirected","30"
"187","102","179","50","Undirected","30"
"188","102","184","15","Undirected","30"
"189","102","186","5","Undirected","30"
"190","102","195","28","Undirected","30"
"191","102","202","26","Undirected","30"
"192","102","204","13","Undirected","30"
"193","102","207","22","Undirected","30"
"194","102","208","8","Undirected","30"
"195","102","212","9","Undirected","30"
"196","102","213","4","Undirected","30"
"197","102","218","8","Undirected","30"
"198","102","220","8","Undirected","30"
"199","102","221","74","Undirected","30"
"200","102","222","29","Undirected","30"
"201","102","225","5","Undirected","30"
"202","102","226","6","Undirected","30"
"203","102","228","107","Undirected","30"
"204","102","239","12","Undirected","30"
"205","102","242","6","Undirected","30"
"206","102","247","10","Undirected","30"
"207","102","250","7","Undirected","30"
"208","102","253","12","Undirected","30"
"209","102","261","11","Undirected","30"
"210","102","264","5","Undirected","30"
"211","102","267","10","Undirected","30"
"212","102","268","22","Undirected","30"
"213","102","272","10","Undirected","30"
"214","102","274","26","Undirected","30"
"215","102","278","8","Undirected","30"
"216","102","281","82","Undirected","30"
"217","102","285","11","Undirected","30"
"218","102","293","15","Undirected","30"
"219","102","294","9","Undirected","30"
"220","102","295","5","Undirected","30"
"221","102","301","11","Undirected","30"
"222","102","305","42","Undirected","30"
"223","102","307","14","Undirected","30"
"224","102","311","4","Undirected","30"
"225","102","313","21","Undirected","30"
"226","102","315","28","Undirected","30"
"227","102","319","13","Undirected","30"
"228","102","321","5","Undirected","30"
"229","102","322","5","Undirected","30"
"230","102","326","3","Undirected","30"
"231","102","327","6","Undirected","30"
"232","102","330","27","Undirected","30"
"233","102","331","9","Undirected","30"
"234","102","334","23","Undirected","30"
"235","102","336","5","Undirected","30"
"236","102","338","9","Undirected","30"
"237","102","342","15","Undirected","30"
"238","102","343","11","Undirected","30"
"239","102","345","7","Undirected","30"
"240","102","348","22","Undirected","30"
"241","102","351","20","Undirected","30"
"242","102","356","19","Undirected","30"
"243","102","358","14","Undirected","30"
"244","102","367","61","Undirected","30"
"245","102","368","7","Undirected","30"
"246","102","370","17","Undirected","30"
"247","102","378","19","Undirected","30"
"248","102","380","14","Undirected","30"
"249","102","381","45","Undirected","30"
"250","102","383","38","Undirected","30"
"251","102","386","6","Undirected","30"
"252","102","389","12","Undirected","30"
"253","102","392","25","Undirected","30"
"254","102","393","13","Undirected","30"
"255","102","396","101","Undirected","30"
"256","102","397","6","Undirected","30"
"257","102","401","31","Undirected","30"
"258","102","405","27","Undirected","30"
"259","102","407","45","Undirected","30"
"260","102","410","7","Undirected","30"
"261","102","411","5","Undirected","30"
"262","102","413","6","Undirected","30"
"263","102","416","17","Undirected","30"
"264","102","417","30","Undirected","30"
"265","102","420","12","Undirected","30"
"266","102","421","15","Undirected","30"
"267","102","423","7","Undirected","30"
"268","102","424","14","Undirected","30"
"269","102","426","31","Undirected","30"
"270","102","432","28","Undirected","30"
"271","102","441","18","Undirected","30"
"272","102","442","6","Undirected","30"
"273","102","445","29","Undirected","30"
"274","102","447","6","Undirected","30"
"275","102","448","9","Undirected","30"
"276","102","450","6","Undirected","30"
"277","102","456","5","Undirected","30"
"278","102","457","6","Undirected","30"
"279","102","458","13","Undirected","30"
"280","102","459","18","Undirected","30"
"281","102","460","14","Undirected","30"
"282","102","462","6","Undirected","30"
"283","102","464","11","Undirected","30"
"284","102","465","9","Undirected","30"
"285","102","476","4","Undirected","30"
"286","102","478","13","Undirected","30"
"287","102","483","23","Undirected","30"
"288","102","496","11","Undirected","30"
"289","102","497","74","Undirected","30"
"290","102","500","17","Undirected","30"
"291","103","140","22","Undirected","17"
"292","103","220","49","Undirected","17"
"293","103","221","7","Undirected","17"
"294","103","225","30","Undirected","17"
"295","103","268","139","Undirected","17"
"296","103","293","12","Undirected","17"
"297","103","307","26","Undirected","17"
"298","103","313","12","Undirected","17"
"299","103","316","250","Undirected","17"
"300","103","331","122","Undirected","17"
"301","103","342","28","Undirected","17"
"302","103","347","177","Undirected","17"
"303","103","348","72","Undirected","17"
"304","103","389","30","Undirected","17"
"305","103","405","33","Undirected","17"
"306","103","426","50","Undirected","17"
"307","103","464","144","Undirected","17"
"308","104","118","51","Undirected","29"
"309","104","119","30","Undirected","29"
"310","104","124","26","Undirected","29"
"311","104","130","73","Undirected","29"
"312","104","135","60","Undirected","29"
"313","104","139","31","Undirected","29"
"314","104","155","43","Undirected","29"
"315","104","179","15","Undirected","29"
"316","104","185","100","Undirected","29"
"317","104","186","43","Undirected","29"
"318","104","195","43","Undirected","29"
"319","104","196","42","Undirected","29"
"320","104","200","64","Undirected","29"
"321","104","204","30","Undirected","29"
"322","104","221","17","Undirected","29"
"323","104","249","136","Undirected","29"
"324","104","252","68","Undirected","29"
"325","104","253","38","Undirected","29"
"326","104","255","161","Undirected","29"
"327","104","261","25","Undirected","29"
"328","104","274","30","Undirected","29"
"329","104","301","50","Undirected","29"
"330","104","305","32","Undirected","29"
"331","104","307","46","Undirected","29"
"332","104","310","12","Undirected","29"
"333","104","311","10","Undirected","29"
"334","104","313","9","Undirected","29"
"335","104","315","71","Undirected","29"
"336","104","322","22","Undirected","29"
"337","104","326","47","Undirected","29"
"338","104","327","45","Undirected","29"
"339","104","336","22","Undirected","29"
"340","104","338","33","Undirected","29"
"341","104","342","10","Undirected","29"
"342","104","343","51","Undirected","29"
"343","104","345","16","Undirected","29"
"344","104","351","13","Undirected","29"
"345","104","355","57","Undirected","29"
"346","104","358","50","Undirected","29"
"347","104","359","180","Undirected","29"
"348","104","364","41","Undirected","29"
"349","104","381","41","Undirected","29"
"350","104","385","68","Undirected","29"
"351","104","389","22","Undirected","29"
"352","104","399","25","Undirected","29"
"353","104","405","74","Undirected","29"
"354","104","411","173","Undirected","29"
"355","104","413","15","Undirected","29"
"356","104","424","26","Undirected","29"
"357","104","425","44","Undirected","29"
"358","104","432","50","Undirected","29"
"359","104","437","31","Undirected","29"
"360","104","441","27","Undirected","29"
