,user_id,user_language,top_topic,topic_prob
97,37668167,English,1,0.97355933587
182,172867293,English,2,0.652594876934
363,220037716,English,0,0.985770338216
892,759669229,English,0,0.991039444965
1127,1128776185,English,0,0.984199294773
1153,1692209252,English,0,0.988169070845
1288,3148144514,English,2,0.621990432156
1363,15323050,English,0,0.989752346204
1666,2370059311,English,1,0.649225004311
1746,11136612,English,0,0.855070538245
1789,69727878,English,0,0.670594097837
1884,1353889345,English,1,0.913510312105
1885,3296674695,English,2,0.65899946215
2212,135080574,English,1,0.915004561987
2356,370331473,English,1,0.574506616842
2762,2411038625,English,2,0.635201461133
2885,40432470,English,2,0.486633036936
3154,946351285,English,2,0.860990166402
3438,1093032612,English,1,0.734500646927
3673,95719268,English,1,0.92357316787
3711,1696291441,English,0,0.731861367972
3818,2392822687,English,2,0.975221674702
3891,167472935,English,1,0.759633670697
4755,106674575,English,1,0.870140330953
4839,714502543,English,0,0.991992019147
4985,65009616,English,1,0.818738048928
5121,1148158980,English,2,0.484603857484
5170,776120695,English,0,0.728561591223
5376,632278093,English,1,0.959886284051
5601,3545212101,English,1,0.889403256572
5680,72520622,English,0,0.990912439998
5977,2721006678,English,2,0.673084763529
6097,793882021433057280,English,0,0.333333333333
6111,185130828,English,1,0.942882077735
6299,177496081,English,0,0.989239707195
7155,261551164,English,1,0.940749313978
7270,63079925,English,1,0.852234151842
7309,444961520,English,1,0.85520243476
7381,711076102819749888,English,1,0.581848633337
7499,222384573,English,0,0.630251184894
8422,301029233,English,0,0.333333333333
9274,2483772171,English,2,0.663077834504
9383,150708950,English,1,0.738799220535
9486,994603945,English,0,0.333333333333
9906,286077176,English,1,0.738368758562
10371,207998998,English,1,0.982929550546
10666,464846372,English,1,0.86013977683
10801,1549948279,English,2,0.924984091035
10992,3177872699,English,1,0.77489222207
11566,72246678,English,0,0.994610272528
12219,79979885,English,1,0.869241953452
12944,1729191516,English,0,0.479233288695
13116,2229559026,English,0,0.995853142725
13421,3233768596,English,1,0.65468694096
13819,3361541835,English,1,0.612586368881
13954,34362570,English,0,0.997565788701
14126,787319965556871168,English,1,0.963145144368
14250,79819328,English,0,0.333333333333
14313,731396950315159552,English,1,0.95794278999
14410,419938422,English,1,0.811980438333
14914,198597215,English,0,0.640240994507
15059,90926668,English,0,0.997324900587
15090,444570875,English,1,0.71146038471
16007,74997157,English,0,0.889963832886
16144,3653109683,English,1,0.802390274586
16436,137277833,English,1,0.474932329976
16640,224317877,English,2,0.853222529491
18234,356892517,English,1,0.531644276217
18436,190287250,English,1,0.900030469003
18490,34777014,English,0,0.628391640513
18788,3290049189,English,1,0.870306890222
18917,374937249,English,1,0.920204155148
19161,599133841,English,0,0.73820381169
19186,95161101,English,1,0.872649759886
19379,96737271,English,1,0.746618948608
19671,2640881423,English,0,0.333333333333
20062,152567630,English,0,0.473605986291
20136,37187915,English,1,0.930467452728
20187,802457720,English,1,0.546057665255
20465,89686033,English,0,0.970505021416
21768,820007978,English,0,0.958595202738
21911,172092724,English,1,0.836682676767
23487,288822102,English,2,0.680431071748
23544,306457890,English,1,0.978492816922
23918,151600005,English,1,0.960900056314
24037,2284999060,English,1,0.765540086996
24058,346139208,English,1,0.916312006865
24087,82560945,English,1,0.977693060024
24099,710136168940244993,English,1,0.926506408084
24299,235500761,English,1,0.862789298322
24437,39489871,English,0,0.657404835867
24463,722021641,English,0,0.846001264612
25041,1068105649,English,2,0.974568776119
25061,783695026819854336,English,2,0.684361260341
25453,519641406,English,0,0.96933688515
25618,36189163,English,0,0.827021545604
25826,284116260,English,1,0.703089913983
26187,550346448,English,1,0.926532831772
