"","topic","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Arabic",2,1,0,-0.936360051135548,-0.596144395837596,NA,NA,NA,NA,NA,NA
"2","English",1,0,0,0.599315652645921,NA,NA,NA,NA,NA,NA,NA
"3","French",0,1,1,NA,NA,NA,NA,-0.916398602350404,NA,NA,NA
"4","German",1,0,0,0.593040346095767,NA,NA,NA,NA,NA,NA,NA
"5","Russian",2,0,0,0.161144862637892,0.303966672361208,NA,NA,NA,NA,NA,NA
"6","Spanish",1,0,2,0.455000542331561,NA,NA,NA,-0.00756856220784652,0.409472604990932,NA,NA
"7","Topic 0 - English",5,1,0,-0.383180983852156,-0.444808736342401,-0.373691386193497,-0.17225443694519,NA,NA,NA,NA
"8","Topic 0 - Turkish",1,0,0,0.630959797159508,NA,NA,NA,NA,NA,NA,NA
"9","Topic 1 - English",1,1,1,0.335831583465056,NA,NA,NA,-0.88577857356134,NA,NA,NA
"10","Topic 1 - Turkish",2,1,2,1.12359895972383,-0.509081822275319,NA,NA,-1.6152691729217,0.650696129459365,NA,NA
"11","Topic 14 - Turkish",0,1,2,NA,NA,NA,NA,-0.674536424358067,-0.246545953029188,NA,NA
"12","Topic 16 - Turkish",1,0,0,0.155625250160365,NA,NA,NA,NA,NA,NA,NA
"13","Topic 2 - English",5,1,0,-0.317806876177533,-0.410255150226891,-0.236540573405417,-0.189635969624769,NA,NA,NA,NA
"14","Topic 2 - Turkish",5,1,0,-0.374094593135847,-0.528528969858586,-0.437154855332391,-0.24822629237905,NA,NA,NA,NA
"15","Topic 3 - Turkish",1,1,1,0.299431793379591,NA,NA,NA,-0.890586945251025,NA,NA,NA
"16","Topic 4 - Turkish",2,1,3,1.19828631767711,-0.932861837541671,NA,NA,-1.92207099477184,1.69240043625121,-0.652419843014606,NA
"17","Topic 5 - Turkish",0,1,3,NA,NA,NA,NA,-0.602018430911381,-0.0427460642938562,-0.208851099042467,NA
"18","Topic 6 - Turkish",3,1,2,0.756203061648206,-0.373063781973053,-0.308981676431861,NA,-1.48672883237413,0.842336693546702,NA,NA
"19","Topic 7 - Turkish",1,1,1,0.374834490492561,NA,NA,NA,-0.900222899809968,NA,NA,NA
"20","Turkish",4,1,1,0.6332794348015,0.00409400172231192,0.212274754295879,-0.451528744265008,-0.727296564757165,NA,NA,NA
