"text_lang","count"
"pt","661"
"ur","3"
"sl","118"
"vi","37"
"ml","1"
"cy","234"
"de","688"
"ru","996"
"fr","1119"
"nl","531"
"es","1674"
"hu","202"
"el","19423"
"ro","686"
"is","130"
"bg","2654"
"hi","88"
"fa","161"
"eu","239"
"tr","388625"
"pl","191"
"uk","79"
"ja","130"
"cs","165"
"ar","3500"
"da","319"
"lv","142"
"fi","647"
"ka","1"
"sr","62"
"und","35558"
"lt","164"
"en","36184"
"bn","9"
"in","3619"
"tl","1341"
"ko","44"
"et","1250"
"ne","8"
"no","303"
"sv","289"
"it","579"
"iw","8"
"zh","2"
"ht","648"
