"text_lang","count"
"pt","5594"
"bo","1"
"sl","93"
"vi","85"
"cy","738"
"de","1785"
"ru","4134"
"mr","1"
"fr","4460"
"es","21227"
"nl","1478"
"hu","264"
"el","9"
"ro","609"
"kn","1"
"is","555"
"hi","364"
"bg","140"
"fa","628"
"eu","327"
"tr","1518"
"pl","1760"
"ja","4233"
"uk","316"
"cs","277"
"th","324"
"da","745"
"ar","3486"
"lv","288"
"fi","405"
"my","6"
"sr","41"
"und","113703"
"lt","303"
"en","1137542"
"bn","1"
"ckb","1"
"in","4038"
"tl","7610"
"ko","848"
"et","1588"
"ne","11"
"no","572"
"sv","759"
"hy","5"
"it","2275"
"iw","29"
"zh","358"
"ht","4824"
